last_name, first_name,player_id,year,player_age,ab,hit,single,double,triple,home_run,strikeout,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,r_stolen_base_pct,xslg,xobp,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,n_bolts,sprint_speed,
Gordon, Alex,460086,2020,36,163,34,26,4,0,4,37,20.1,9.8,.209,.307,.299,0.606,,.352,.318,82.8,11.6,34.1,4,3.2,72.4,17.9,24,35.2,63.6,126,384,182,,25.0,
Kemp, Matt,461314,2020,35,117,28,19,3,0,6,41,31.1,11.4,.239,.419,.326,0.745,,.430,.314,85.3,11.9,38.2,6,7.9,64.8,28.2,28.7,49.5,50.5,91,285,159,,25.9,
Andrus, Elvis,462101,2020,31,103,20,12,5,0,3,15,13.5,7.2,.194,.330,.252,0.582,,.389,.289,88.5,9.2,28.4,5,5.7,65.9,12.4,26,37.7,62.3,41,231,140,,26.3,
Ramos, Wilson,467092,2020,32,142,34,23,6,0,5,31,20,6.5,.239,.387,.297,0.684,,.419,.306,89,6.5,26.8,8,7.1,78.9,19.3,32.2,40.9,59.1,44,329,147,,23.3,
Santana, Carlos,467793,2020,34,206,41,26,7,0,8,43,16.9,18.4,.199,.350,.349,0.699,,.448,.393,88,12.2,32.3,11,6.7,61.4,15.8,16.6,34.6,64.4,199,582,326,,25.5,
Belt, Brandon,474832,2020,32,149,46,23,13,1,9,36,20.1,16.8,.309,.591,.425,1.016,,.597,.406,90.7,18,40.7,19,16.8,73,15.8,19.4,45.9,51.4,101,410,168,,25.2,
Smoak, Justin,475253,2020,33,119,21,9,7,0,5,42,31.8,7.6,.176,.361,.250,0.611,,.327,.260,89.6,15.3,33.3,3,3.8,65.4,21.3,22.6,58.5,41.5,72,284,189,,22.9,
Brantley Jr., Michael,488726,2020,33,170,51,31,15,0,5,28,15,9.1,.300,.476,.364,0.840,,.413,.327,88.7,10.2,34.5,7,4.9,59.3,10.1,20,35.2,64.8,104,467,140,,26.2,
Gurriel, Yuli,493329,2020,36,211,49,30,12,1,6,27,11.7,5.2,.232,.384,.274,0.658,,.408,.314,89.3,13.9,34.4,7,3.7,66,6.3,34.4,30.4,69.6,98,472,201,,27.2,
Rojas, Miguel,500743,2020,31,125,38,23,10,1,4,18,12.6,11.2,.304,.496,.392,0.888,,.384,.369,87.3,11.9,38.3,1,0.9,56.6,13.8,22.8,25.4,74.6,45,327,158,,26.5,
Escobar, Eduardo,500871,2020,31,203,43,29,7,3,4,41,18.5,6.8,.212,.335,.270,0.605,,.396,.317,88.6,18.1,34.8,9,5.5,70.3,12.9,35.2,36.4,63.6,148,496,165,,28.0,
Adrianza, Ehire,501303,2020,30,89,17,10,7,0,0,23,22.8,10.9,.191,.270,.287,0.557,,.312,.299,85.9,16,33.3,2,3,69.2,10.1,24.4,40,60,69,238,94,,26.2,
Pham, Tommy,502054,2020,32,109,23,18,2,0,3,27,21.6,12,.211,.312,.312,0.624,,.450,.354,92.8,2.4,22,6,7.3,58,19.6,20.3,47.2,52.8,43,322,131,2,28.2,
Martinez, J.D.,502110,2020,32,211,45,22,16,0,7,59,24.9,9.3,.213,.389,.291,0.680,,.443,.306,89.5,14.7,39.6,17,11,73.9,20.3,30.8,46.1,53.9,111,553,217,,25.9,
Reddick, Josh,502210,2020,33,188,46,30,11,1,4,42,20,9.5,.245,.378,.316,0.694,,.360,.319,85.9,19.1,34.7,7,4.8,68.4,16.1,25.7,39.1,60.9,135,527,157,,26.2,
