last_name, first_name,player_id,year,player_age,ab,hit,single,double,triple,home_run,strikeout,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,r_stolen_base_pct,xslg,xobp,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,n_bolts,sprint_speed,
Miller, Brad,543543,2021,31,331,75,43,9,3,20,112,29.7,11.9,.227,.453,.321,0.774,,.460,.339,92.4,12.9,31.1,27,12.3,67.3,24.1,24.3,49.7,50.3,243,837,431,,27.5,
Nola, Austin,543592,2021,31,173,47,33,12,0,2,19,9.8,7.2,.272,.376,.340,0.716,,.348,.326,89.7,14.7,30.1,1,0.6,68.6,8.2,17.4,30.4,69.6,70,441,169,,26.0,
Rendon, Anthony,543685,2021,31,217,52,33,13,0,6,41,16.5,11.6,.240,.382,.329,0.711,,.369,.324,89.1,22.3,31.5,10,5.6,71.6,12.2,21.9,33.3,66.7,94,610,227,,25.2,
Semien, Marcus,543760,2021,30,652,173,87,39,2,45,146,20.2,9.1,.265,.538,.334,0.872,,.459,.320,89.7,20.3,35.2,50,9.8,69.7,14.4,21.3,44.3,55.7,353,1652,861,5,28.6,
Shaw, Travis,543768,2021,31,220,44,24,11,0,9,68,27.2,9.6,.200,.373,.286,0.659,,.387,.300,87.7,19.9,31.6,14,9,67,19.4,25.1,43.1,55.4,133,619,286,,25.0,
Springer III, George,543807,2021,31,299,79,37,19,1,22,79,23.1,10.8,.264,.555,.352,0.907,,.507,.339,89.4,19,37.1,34,15.4,69.8,19,24,47.9,52.1,154,757,377,,28.4,
Vazquez, Christian,543877,2021,30,458,118,88,23,1,6,84,16.9,6.6,.258,.352,.308,0.660,,.337,.287,86.3,13.6,33,10,2.6,64.9,12.6,29.8,28,72,199,1198,510,,25.2,
Wong, Kolten,543939,2021,30,445,121,73,32,2,14,83,16.9,6.3,.272,.447,.335,0.782,,.382,.317,88.3,12.8,35.3,20,5.5,67.2,11,28,37.8,61.4,238,1055,496,,26.7,
Gregorius, Didi,544369,2021,31,368,77,46,16,2,13,67,16.4,6.1,.209,.370,.270,0.640,,.329,.287,86.1,18.3,32.1,7,2.3,78,18.7,31.7,38.3,60.9,236,952,383,,27.7,
Garcia, Leury,544725,2021,30,415,111,80,22,4,5,97,20.5,8.6,.267,.376,.335,0.711,,.336,.312,86.1,4.3,30.1,11,3.3,72.5,15.5,32.7,44.1,55.5,265,961,419,5,28.4,
Grichuk, Randal,545341,2021,29,511,123,75,25,1,22,114,20.9,5,.241,.423,.281,0.704,,.402,.278,89.8,16.1,30.4,34,8.5,73.7,13,32.4,44.8,55.2,245,1104,614,,28.1,
Marisnick, Jake,545350,2021,30,176,38,23,7,3,5,65,32.8,5.6,.216,.375,.286,0.661,,.294,.272,88.2,15.2,34.8,7,6.1,73.6,23.7,31.8,55.1,44.9,96,418,205,4,28.8,
Stassi, Max,545358,2021,30,282,68,43,11,1,13,101,31.7,8.8,.241,.426,.326,0.752,,.419,.318,89.9,11,35.2,20,11,64.8,25.1,23,50,50,88,776,363,,26.4,
Trout, Mike,545361,2021,29,117,39,22,8,1,8,41,28.1,18.5,.333,.624,.466,1.090,,.575,.442,91.9,12.9,38.2,14,18.4,61.4,21,17.6,50,50,39,411,145,12,29.3,
Herrera, Odubel,546318,2021,29,450,117,75,27,2,13,77,15.7,5.9,.260,.416,.310,0.726,,.378,.306,88.9,7.3,32.5,18,4.7,69.6,13.9,32.4,31.8,67.9,246,1165,505,,27.3,
Alford, Anthony,546990,2021,26,133,31,19,6,1,5,58,39.2,8.1,.233,.406,.311,0.717,,.383,.280,89,11.8,36,8,10.7,68.9,28,28.9,59.3,38.4,66,341,161,12,29.6,
Ruiz, Rio,547004,2021,27,125,21,14,4,0,3,38,27,8.5,.168,.272,.243,0.515,,.288,.262,86.8,9.9,25.6,4,4.4,81.3,23,30.8,42.7,57.3,74,310,152,,25.7,
Harper, Bryce,547180,2021,28,488,151,73,42,1,35,134,22.4,16.7,.309,.615,.429,1.044,,.609,.423,92.5,13.3,38.9,65,18.1,75.3,24.6,24.8,50,49.7,387,1274,712,,27.8,
Perez, Roberto,547379,2021,32,141,21,11,3,0,7,56,34.8,10.6,.149,.319,.245,0.564,,.390,.293,91,6.9,26.4,11,12.6,63.7,26.2,18.7,65.6,32.8,61,400,216,,24.7,
Abreu, Jose,547989,2021,34,566,148,86,30,2,30,143,21.7,9.3,.261,.481,.351,0.832,,.457,.347,92,10.4,31.2,44,10.2,66.7,17.4,32.2,46.2,53.8,220,1533,782,,26.5,
Diaz, Elias,553869,2021,30,338,83,46,18,1,18,60,16.2,8.1,.246,.464,.310,0.774,,.419,.312,87.1,14.7,30.1,22,7.9,75.3,15.2,27.9,47.6,52.4,156,730,399,,25.8,
Narvaez, Omar,553882,2021,29,391,104,73,20,0,11,84,18.9,9.2,.266,.402,.342,0.744,,.369,.318,84.6,17.9,40.3,16,5.1,74.6,14.3,31.1,44.4,55.6,229,898,486,,25.2,
Astudillo, Willians,553902,2021,29,208,49,34,8,0,7,12,5.6,1.4,.236,.375,.259,0.634,,.374,.274,85.9,16.8,33.5,8,4.1,83.7,7.9,43.1,13.6,86.4,82,326,199,,24.2,
Suarez, Eugenio,553993,2021,29,505,100,46,23,0,31,171,29.8,9.8,.198,.428,.286,0.714,,.455,.302,89.1,18.3,33,51,15,64.3,18.7,23.3,56.7,43.3,292,1358,713,,26.7,
Polanco, Gregory,570256,2021,29,336,70,45,12,2,11,104,27.2,9.4,.208,.354,.283,0.637,,.411,.310,89.9,15.9,32.5,23,9.6,69.6,19.7,29.4,52.9,47.1,224,889,427,,27.2,
Gonzalez, Erik,570481,2021,29,220,51,41,7,1,2,40,17.5,3.5,.232,.300,.258,0.558,,.351,.280,87,0.1,27.1,6,3.3,78.3,15.2,37.6,45.6,54.4,79,398,317,,27.4,
Urshela, Gio,570482,2021,29,420,112,78,18,2,14,109,24.7,4.5,.267,.419,.301,0.720,,.415,.288,88.9,7.5,36.2,25,8,72.4,18.2,36,38.4,61.6,170,976,522,,25.7,
Schoop, Jonathan,570731,2021,29,623,173,120,30,1,22,133,19.7,5.5,.278,.435,.320,0.755,,.404,.305,88.1,10.8,30.1,34,6.8,70.9,15.7,35.3,41.5,58.5,292,1512,726,,27.0,
Arenado, Nolan,571448,2021,30,593,151,80,34,3,34,96,14.7,7.7,.255,.494,.312,0.806,,.420,.308,89,20,34.1,34,6.7,67.4,10.4,29,34.6,65.4,199,1398,815,,25.4,
Barnhart, Tucker,571466,2021,30,348,86,58,21,0,7,100,25.8,7.5,.247,.368,.317,0.685,,.313,.279,87.1,15.5,37.1,10,4,73.4,19.7,28.8,41.6,58,236,790,492,,24.3,
Farmer, Kyle,571657,2021,30,483,127,87,22,2,16,97,18.3,4.2,.263,.416,.316,0.732,,.383,.306,87.2,15.8,36,17,4.3,65.4,11.5,35.4,34.7,64.7,200,1101,626,,27.0,
Goodwin, Brian,571718,2021,30,235,52,33,10,1,8,58,21.4,12.2,.221,.374,.319,0.693,,.396,.342,88.5,16.9,35.8,11,6.1,64.6,20,21.2,47.7,52.3,181,660,312,,27.3,
Hamilton, Billy,571740,2021,30,127,28,15,8,3,2,47,34.8,3,.220,.378,.242,0.620,,.265,.224,83.9,18.6,38.1,1,1.2,70.7,22.2,39.2,48,49,41,307,165,12,29.5,
Haniger, Mitch,571745,2021,30,620,157,93,23,2,39,169,24.5,7.8,.253,.485,.318,0.803,,.497,.329,89.3,14.8,33.6,58,12.6,65,20.1,29.2,50.1,49.9,422,1476,813,1,27.2,
Hernandez, Enrique,571771,2021,29,508,127,69,35,3,20,110,18.8,10.4,.250,.449,.337,0.786,,.454,.342,90.8,17.9,36.5,34,8.4,66.8,14,24.9,46.3,53.7,287,1340,596,,27.4,
Holt, Brock,571788,2021,33,235,49,33,13,1,2,49,18.8,8.8,.209,.298,.281,0.579,,.315,.300,86.1,9.8,31,3,1.6,62,13.8,23.8,33.9,66.1,162,616,230,,26.1,
Lamb, Jake,571875,2021,30,144,28,17,4,0,7,51,30,12.9,.194,.368,.306,0.674,,.393,.325,90.6,18.3,34.7,11,11.6,65.2,18.9,23.3,48.7,50,96,403,170,,26.0,
Muncy, Max,571970,2021,30,497,124,60,26,2,36,120,20.3,14,.249,.527,.368,0.895,,.580,.387,91.2,15.2,34.9,61,16.1,60.3,16.8,15.7,47.9,52.1,389,1237,790,,26.7,
Myers, Wil,571976,2021,30,442,113,70,24,2,17,141,28.2,10.8,.256,.434,.334,0.768,,.370,.301,88,10.6,31.5,23,7.5,65.7,24.9,27.7,46.8,52.1,187,1041,738,,28.3,
Naquin, Tyler,571980,2021,30,411,111,66,24,2,19,106,23.3,7.7,.270,.477,.333,0.810,,.459,.328,89.8,9.6,31.5,32,10.4,77.5,15.7,37.9,38,61.7,224,1176,394,,27.6,
Piscotty, Stephen,572039,2021,30,173,38,25,8,0,5,48,25.5,6.9,.220,.353,.282,0.635,,.375,.284,86.1,17.5,32.8,11,8.8,75.1,20.5,31.7,45.7,54.3,100,368,185,,25.8,
Pollock, AJ,572041,2021,33,384,114,65,27,1,21,80,19,7.1,.297,.536,.355,0.891,,.499,.343,90.3,12,35,34,11.1,73.7,14.1,33,45.6,54.4,204,757,481,,27.8,
Seager, Kyle,572122,2021,33,603,128,63,29,1,35,161,24,8.8,.212,.438,.285,0.723,,.452,.294,89,19.5,35.7,55,12.3,72.3,20.4,29.2,50,50,473,1220,814,,25.5,
Taylor, Michael A.,572191,2021,30,483,118,89,16,1,12,144,27.3,6.3,.244,.356,.297,0.653,,.390,.299,89.4,12.1,30.6,23,6.6,75.3,22.4,30.5,50.1,47.5,188,1266,624,6,28.2,
Voit III, Luke,572228,2021,30,213,51,32,7,1,11,74,30.7,8.7,.239,.437,.328,0.765,,.497,.338,90.7,15.9,35.3,22,15.8,75.7,30.1,30.1,64,36,148,449,326,,24.9,
Walker, Christian,572233,2021,30,401,98,64,23,1,10,106,23.8,8.5,.244,.382,.315,0.697,,.386,.320,88.8,15.6,34,19,6.4,80.9,20.7,28,45.3,54.7,211,1040,488,,27.4,
Zunino, Mike,572287,2021,30,333,72,26,11,2,33,132,35.2,9.1,.216,.559,.301,0.860,,.532,.305,90.7,23.2,31.7,49,24.3,66.8,30.3,27.9,58.1,41.9,134,923,432,,26.0,
Carpenter, Matt,572761,2021,35,207,35,20,11,1,3,77,30.9,14.1,.169,.275,.305,0.580,,.425,.350,90,21.1,45,15,11.5,63.6,25.1,15.3,47.7,52.3,207,622,285,,25.7,
Dickerson, Corey,572816,2021,32,336,91,62,18,5,6,68,18.6,6.8,.271,.408,.326,0.734,,.370,.302,87.8,10.1,29,8,3,75,23.1,35.2,26.8,73.2,235,973,261,,27.2,
Ruf, Darin,573131,2021,34,262,71,40,13,2,16,87,27.9,14.7,.271,.519,.385,0.904,,.515,.378,93,9.8,41.5,25,14.2,57.7,16.4,19.8,48.2,51.8,156,830,349,,25.9,
Yastrzemski, Mike,573262,2021,30,468,105,49,28,3,25,131,24.6,9.6,.224,.457,.311,0.768,,.431,.309,89.5,19.4,33.1,35,10.3,67.9,18.8,23,40.9,59.1,275,1162,617,1,27.3,
Contreras, Willson,575929,2021,29,413,98,57,20,0,21,138,28.6,10.8,.237,.438,.340,0.778,,.448,.344,91.8,9.6,30.1,31,11.1,66.2,22.7,26.9,59.5,40.5,234,1134,576,,27.6,
Iglesias, Jose,578428,2021,31,483,131,93,27,2,9,75,14.7,4.1,.271,.391,.309,0.700,,.366,.308,85.4,11.5,35.5,14,3.4,68.5,10.5,43.2,30.4,69.6,217,1064,533,2,28.3,
Torreyes, Ronald,591720,2021,28,318,77,59,10,1,7,41,11.9,5.5,.242,.346,.286,0.632,,.299,.278,82.2,12.2,30.4,1,0.4,72.3,8.9,32.1,26.4,73.6,102,689,354,,26.9,
Bryant, Kris,592178,2021,29,513,136,77,32,2,25,135,23,10.6,.265,.481,.353,0.834,,.449,.349,88.2,15.1,37.1,39,10.3,73.7,17.6,26.7,53.5,46.5,329,1203,669,,27.9,
Canha, Mark,592192,2021,32,519,120,77,22,4,17,128,20.5,12.3,.231,.387,.358,0.745,,.378,.358,87.3,13.5,36.1,28,7.1,61.4,15.3,20.7,38.8,61.2,217,1539,804,,27.8,
Casali, Curt,592200,2021,32,200,42,25,11,1,5,66,28.6,11.3,.210,.350,.313,0.663,,.330,.304,86.4,23.3,35.6,8,5.9,72.6,22.7,20,53.8,46.2,73,489,314,,24.9,
Castellanos, Nick,592206,2021,29,531,164,91,38,1,34,121,20.7,7,.309,.576,.362,0.938,,.535,.350,89.8,14,44,44,10.6,78.9,20.2,36.2,48.5,51.3,329,1070,737,,27.6,
Gamel, Ben,592325,2021,29,340,84,55,18,3,8,105,26.3,12.8,.247,.388,.347,0.735,,.373,.335,89,16.7,41.5,19,7.9,65.7,16.1,23.5,57.1,41.3,254,896,437,,27.7,
Goodrum, Niko,592348,2021,29,290,62,40,11,2,9,107,32.9,8.9,.214,.359,.292,0.651,,.381,.297,88,13.4,37.8,19,10.3,68.8,29,28.5,56.3,43.8,271,732,316,1,28.5,
Jones, JaCoby,592444,2021,29,100,17,13,2,0,2,42,40,4.8,.170,.250,.210,0.460,,.333,.235,89.4,10.3,41.4,5,8.6,65.3,30.2,37.2,50,50,41,204,142,,27.4,
Judge, Aaron,592450,2021,29,550,158,95,24,0,39,158,25,11.8,.287,.544,.373,0.917,,.594,.394,95.8,11.6,38.5,70,17.6,66.1,20.2,23.7,49.3,50.7,393,1361,823,1,27.6,
Machado, Manny,592518,2021,28,564,157,96,31,2,28,102,15.9,9.8,.278,.489,.347,0.836,,.526,.363,93.1,14,33.8,63,13.3,70.2,14.1,28.9,41.5,58.5,249,1302,647,,26.4,
Marmolejos, Jose,592530,2021,28,106,17,9,4,0,4,39,32,12.3,.160,.311,.262,0.573,,.348,.283,89.4,22.7,30.9,7,10.3,63.8,22.9,26.6,50,50,109,281,128,,25.7,
Moran, Colin,592567,2021,28,318,82,60,12,0,10,87,24.2,10,.258,.390,.334,0.724,,.391,.323,89.1,7.2,34.2,19,8.1,69.8,20.4,31.5,39.1,60.9,207,822,334,,23.9,
Pederson, Joc,592626,2021,29,429,102,62,19,3,18,117,24.3,8.1,.238,.422,.310,0.732,,.441,.319,91,14.1,31.2,32,10.1,66.6,20,32.4,38.3,61.4,310,1028,562,,26.9,
Realmuto, J.T.,592663,2021,30,476,125,79,25,4,17,129,24,8.9,.263,.439,.343,0.782,,.416,.335,89.6,11.5,31.2,30,8.6,69.9,21.4,30.7,38.6,61.4,204,1169,677,4,28.8,
Renfroe, Hunter,592669,2021,29,521,135,71,33,0,31,130,22.7,7.7,.259,.501,.315,0.816,,.506,.320,90.1,15.6,32.7,57,14.4,66.7,18.8,31.8,39.3,60.7,244,1254,644,,27.3,
Rosario, Eddie,592696,2021,29,379,98,62,19,3,14,61,14.8,6.3,.259,.435,.305,0.740,,.427,.305,88.5,15.5,34.3,19,5.9,75.8,15.3,35.2,26.1,73.2,256,801,427,1,27.2,
Simmons, Andrelton,592743,2021,31,412,92,77,12,0,3,62,13.7,7.1,.223,.274,.283,0.557,,.281,.290,84.1,3.9,29.1,2,0.6,62.2,11.4,28.5,27.2,72,190,923,511,,26.1,
Yelich, Christian,592885,2021,29,399,99,69,19,2,9,113,23.8,14.7,.248,.373,.362,0.735,,.392,.368,91,2.8,29.4,22,7.6,67.1,16.8,18,52.1,47.9,290,1144,543,4,28.3,
Merrifield, Whit,593160,2021,32,664,184,129,42,3,10,103,14.3,5.6,.277,.395,.317,0.712,,.383,.306,86.9,14.1,40,20,3.5,71.3,13.9,29,28.3,71.1,231,1526,799,1,28.6,
Bogaerts, Xander,593428,2021,28,529,156,98,34,1,23,113,18.7,10.3,.295,.493,.370,0.863,,.468,.359,89.6,12.5,36.4,41,9.7,62.4,15.5,31,33.6,66.4,328,1416,722,1,27.7,
Alberto, Hanser,593643,2021,28,241,65,40,20,3,2,26,10.2,1.6,.270,.402,.291,0.693,,.384,.290,87.1,16.1,32.6,10,4.5,82,9.1,48.2,24.9,71.8,114,434,263,,26.8,
Polanco, Jorge,593871,2021,27,588,158,88,35,2,33,118,18.3,7,.269,.503,.323,0.826,,.488,.323,89.4,19.3,36.1,48,10.1,70.5,11.9,29.7,37.2,62.3,526,1355,582,8,27.9,
Sano, Miguel,593934,2021,28,470,105,51,24,0,30,183,34.4,11.1,.223,.466,.312,0.778,,.439,.306,93.4,17.6,32.3,51,17.7,66.1,25.9,26.5,63.9,36.1,322,1146,699,,26.5,
Difo, Wilmer,594694,2021,29,219,59,45,7,3,4,54,22.5,8.3,.269,.384,.329,0.713,,.321,.292,83.7,12.2,31.9,7,4.2,79.9,24.6,26.8,38.2,61,141,512,259,7,28.6,
Calhoun, Kole,594777,2021,33,166,39,26,8,0,5,41,22.5,8.2,.235,.373,.297,0.670,,.384,.285,88.5,17.3,38.1,8,6.3,81.9,24.9,24.4,53.2,46.8,136,393,198,,24.7,
Duvall, Adam,594807,2021,32,513,117,60,17,2,38,174,31.4,6.3,.228,.491,.281,0.772,,.499,.281,89.8,23.6,33.3,55,16.1,67,18.9,34,48.4,51.6,237,1208,685,,28.6,
Eaton, Adam,594809,2021,32,254,51,33,10,2,6,71,24.7,7.6,.201,.327,.282,0.609,,.309,.296,86.6,8.3,29.3,8,4.3,66.8,16.5,29.6,38.2,60.1,145,706,266,,28.0,
Gosselin, Phil,594838,2021,32,345,90,69,14,0,7,81,21.7,6.4,.261,.362,.314,0.676,,.354,.295,87.6,11.5,30.2,9,3.4,61.1,12.8,31.4,35.5,63.2,168,834,391,17,29.2,
Kiermaier, Kevin,595281,2021,31,348,90,60,19,7,4,99,25.4,8.5,.259,.388,.328,0.716,,.320,.308,86.6,1.1,29.6,10,4,74.6,23,30.3,50,49.6,216,877,387,6,29.2,
Knapp, Andrew,595284,2021,29,145,22,17,3,0,2,61,38.4,6.3,.152,.214,.215,0.429,,.274,.235,86.2,13.1,27.9,3,3.5,75.9,30,36.9,53,47,98,367,151,,27.4,
Alfaro, Jorge,595751,2021,28,295,72,52,15,1,4,99,31.8,3.5,.244,.342,.283,0.625,,.381,.285,90.9,1.8,27.6,16,8.2,78.7,21.3,43.2,50.8,49.2,78,607,400,,28.4,
Profar, Jurickson,595777,2021,28,353,80,57,17,2,4,65,15.8,11.9,.227,.320,.329,0.649,,.323,.339,85.3,14,30.6,8,2.7,65.3,13.5,22.5,30.6,68.9,320,965,434,,26.3,
Baez, Javier,595879,2021,28,502,133,82,18,2,31,184,33.6,5.1,.265,.494,.319,0.813,,.455,.299,90.1,10.6,32.7,43,13.4,75.8,29.3,44.6,53,46.5,257,1108,678,2,28.5,
Cave, Jake,595909,2021,28,164,31,21,6,1,3,62,34.8,5.6,.189,.293,.249,0.542,,.337,.278,87,8.4,38.8,6,5.8,66.9,21.7,22.5,66.7,32.1,122,420,172,,27.9,
Evans, Phillip,595943,2021,28,214,44,34,5,0,5,53,21.5,11.3,.206,.299,.312,0.611,,.344,.345,88.4,5.3,25.5,7,4.3,68.1,14.1,25.6,44.3,55.7,67,533,315,,27.6,
Gallagher, Cam,595956,2021,28,112,28,21,6,0,1,20,16.1,6.5,.250,.330,.298,0.628,,.314,.299,85.9,14.5,35.8,0,0,67.6,7.2,30.8,34.4,65.6,32,267,127,,24.7,
Hedges, Austin,595978,2021,28,286,51,34,7,0,10,87,27.9,4.8,.178,.308,.220,0.528,,.287,.232,85.8,19,28.2,8,3.8,74.5,20.5,33.8,48.5,51,85,726,344,,24.5,
Lindor, Francisco,596019,2021,27,452,104,65,16,3,20,96,18.3,11.1,.230,.412,.322,0.734,,.450,.345,90.7,14.4,35.6,30,8.2,70.8,16.6,26.2,39.1,60.9,333,1156,592,1,27.8,
Nogowski Jr., John,596056,2021,28,129,30,22,7,0,1,22,15.4,8.4,.233,.310,.301,0.611,,.312,.308,88.1,15.6,38,0,0,65.7,9.1,12.7,40.6,59.4,72,340,151,,25.1,
Odor, Rougned,596059,2021,27,322,65,38,12,0,15,100,27.7,7.5,.202,.379,.286,0.665,,.374,.287,89.1,19.6,29.6,20,9,74.4,22,29,43.8,55.2,172,777,369,,26.7,
Slater, Austin,596103,2021,28,274,66,41,12,1,12,84,27.5,9.2,.241,.423,.320,0.743,,.439,.334,87.1,7.8,37.4,18,9.5,66.4,24.1,22.7,48.8,48.8,167,727,270,3,28.5,
Story, Trevor,596115,2021,28,526,132,69,34,5,24,139,23.4,8.9,.251,.471,.329,0.800,,.450,.326,90.6,17.5,34.2,39,9.9,73.6,18,30.5,47.8,51.9,242,1386,708,17,28.7,
Vogelbach, Daniel,596129,2021,28,215,47,30,8,0,9,57,22.1,16.7,.219,.381,.349,0.730,,.390,.365,91.4,11.7,33.5,13,8.2,49.7,14.2,17,32.7,67.3,157,651,360,,24.3,
Sanchez, Gary,596142,2021,28,383,78,41,13,1,23,121,27.5,11.8,.204,.423,.307,0.730,,.452,.328,89.5,20.5,34.4,36,13.7,64.5,23.3,25.3,43.8,56.2,211,1102,512,,25.3,
Kepler, Max,596146,2021,28,426,90,46,21,4,19,96,19.6,11,.211,.413,.306,0.719,,.452,.347,89.8,16.3,35.3,36,10.8,69.9,16.5,20.4,44.6,55.4,313,1056,477,,27.4,
Franco, Maikel,596748,2021,28,377,79,46,22,0,11,67,16.6,5,.210,.355,.253,0.608,,.344,.269,88.2,9.1,28.1,16,5.1,65.7,16.3,35.5,37.7,62.3,187,774,457,,25.0,
Garcia, Robel,596825,2021,28,106,16,12,3,0,1,42,35.9,6.8,.151,.208,.216,0.424,,.238,.247,86.5,14.3,19.7,1,1.5,64.9,32.6,28.6,62.1,37.9,87,217,140,,27.1,
Choi, Ji Man,596847,2021,30,258,59,34,14,0,11,87,28.5,14.8,.229,.411,.348,0.759,,.424,.354,91.2,14.8,39.2,16,9.4,68.3,25.2,19.3,52.3,47.7,190,760,312,,25.4,
Bradley Jr., Jackie,598265,2021,31,387,63,40,14,3,6,132,30.8,6.5,.163,.261,.236,0.497,,.290,.266,89.7,9.6,27.9,13,5,67.5,25.2,27.5,57.5,42.5,230,902,528,,27.2,
La Stella, Tommy,600303,2021,32,220,55,36,11,1,7,26,10.7,7.4,.250,.405,.308,0.713,,.460,.336,88.9,13.5,36.9,12,6.2,55.8,9.6,20.8,20.2,79.8,147,652,217,,24.9,
Severino, Pedro,600474,2021,27,379,94,65,18,0,11,109,26,8.1,.248,.383,.308,0.691,,.401,.312,88.2,15.2,33.5,21,7.6,68.1,18.7,28.3,54.7,45.3,230,913,533,,25.9,
Candelario, Jeimer,600869,2021,27,557,151,90,42,3,16,135,21.6,10.4,.271,.443,.351,0.794,,.462,.358,88.7,12.6,38.6,38,9,68.6,15.2,29.2,40.4,59.3,465,1408,641,,27.2,
Daza, Yonathan,602074,2021,27,301,85,69,12,2,2,60,18.1,6.3,.282,.355,.332,0.687,,.328,.309,85.2,6.6,32.3,5,2,68.4,12.1,33.2,34.8,65.2,133,710,357,,28.3,
Urias, Ramon,602104,2021,27,262,73,52,14,0,7,76,25.7,9.5,.279,.412,.361,0.773,,.427,.354,89.6,5.2,34.4,18,9.7,66.9,20.5,20.4,43.7,56.3,129,790,313,,27.0,
Ahmed, Nick,605113,2021,31,434,96,58,30,3,5,104,22,7.2,.221,.339,.280,0.619,,.290,.268,87.2,10.1,27.9,8,2.4,69.8,18.7,31.5,43.1,56.6,182,1053,497,1,27.8,
Anderson, Brian,605119,2021,28,233,58,42,9,0,7,65,24.6,9.8,.249,.378,.337,0.715,,.374,.307,88.8,11.3,33.9,13,7.7,72.8,20.7,27.9,47.2,52.1,130,573,306,,27.0,
Barnes, Austin,605131,2021,31,200,43,29,8,0,6,56,24.9,8.9,.215,.345,.299,0.644,,.311,.297,85.2,13.5,29.7,6,4.1,67.4,21.9,20.6,42.9,57.1,55,547,260,,26.9,
Bell, Josh,605137,2021,28,498,130,78,24,1,27,101,17.8,11.4,.261,.476,.347,0.823,,.488,.363,92.5,4.9,28.5,35,8.8,74.1,16.3,23.8,44.7,55.3,470,1148,542,,26.2,
Betts, Mookie,605141,2021,28,466,123,68,29,3,23,86,15.6,12.4,.264,.487,.367,0.854,,.445,.369,90.3,18.9,34,30,7.8,63.9,10.2,18.1,38.5,61.5,202,1290,699,,27.1,
Caratini, Victor,605170,2021,27,313,71,55,9,0,7,82,23,9.8,.227,.323,.309,0.632,,.355,.313,90,8.4,31.5,16,6.8,64.5,14.8,26.2,50.6,49.4,256,659,391,,24.9,
Davis, J.D.,605204,2021,28,179,51,34,12,0,5,68,32.2,11.4,.285,.436,.384,0.820,,.408,.355,89.7,13.2,37.2,14,12.4,76.3,34.7,25.5,59,41,76,564,238,,26.9,
Panik, Joe,605412,2021,30,236,49,37,9,0,3,34,13.2,6.6,.208,.284,.266,0.550,,.324,.293,86.5,9.7,33.8,3,1.5,66.7,12.6,19.3,21.3,77.7,141,624,234,,26.2,
Perez, Michael,605421,2021,28,210,30,14,8,1,7,68,29.4,8.2,.143,.290,.221,0.511,,.302,.247,85.7,10.2,29.6,9,6.3,65.5,16.7,28.3,49.3,50.7,187,511,233,,25.1,
Zimmer, Bradley,605548,2021,28,299,68,50,9,1,8,122,35.1,8.6,.227,.344,.325,0.669,,.371,.326,90.7,6.8,30.4,17,9.4,67.4,27.1,23.8,60,35.9,171,786,389,21,29.4,
Castro, Harold,605612,2021,27,315,89,72,13,1,3,72,21.2,4.1,.283,.359,.310,0.669,,.414,.315,88.6,10.2,44,8,3.2,74.5,17.1,42.9,39.2,60.1,180,675,289,,26.2,
Tapia, Raimel,606132,2021,27,487,133,99,26,2,6,70,13.1,7.5,.273,.372,.327,0.699,,.318,.307,85.7,-4.4,19.9,9,2.1,69,8.8,33,27.4,72.3,233,1259,448,7,28.3,
Aquino, Aristides,606157,2021,27,174,33,16,6,1,10,75,36.8,13.2,.190,.408,.299,0.707,,.399,.300,89,22.9,31.7,15,14.9,64.6,27.4,28.2,63,37,141,452,236,,28.3,
Hernandez, Teoscar,606192,2021,28,550,163,102,29,0,32,148,24.9,6.1,.296,.524,.346,0.870,,.536,.336,91.8,13.1,37.4,56,13.9,75.8,20.6,30.7,56.3,43.7,234,1297,694,12,28.5,
Mercedes, Yermin,606213,2021,28,240,65,48,9,1,7,46,17.6,7.6,.271,.404,.328,0.732,,.417,.306,87.3,15.8,35.4,14,7.2,70.7,17,39.6,29.2,70.8,94,593,380,,26.4,
Peraza, Jose,606299,2021,27,142,29,16,7,0,6,26,16.9,5.8,.204,.380,.266,0.646,,.335,.273,85.6,20.8,31,5,4.3,71.5,11,33,36.4,62.5,41,297,167,,27.5,
Marte, Ketel,606466,2021,27,340,108,64,29,1,14,60,16,8.3,.318,.532,.377,0.909,,.495,.370,91.1,10.3,33.5,25,8.9,67.4,10.9,24.5,34.7,65.3,253,765,357,,26.7,
Haase, Eric,606992,2021,28,351,81,46,12,1,22,119,31.2,6.8,.231,.459,.286,0.745,,.461,.291,90.9,16,35.9,32,13.7,68.8,26.9,29,51.7,48.3,184,823,519,,27.9,
Nimmo, Brandon,607043,2021,28,325,95,67,17,3,8,79,20.5,14,.292,.437,.401,0.838,,.392,.385,89.3,8.8,34.3,10,4,67,18,15,45.9,54.1,190,1028,319,10,28.9,
Peterson, Jace,607054,2021,31,259,64,46,11,1,6,68,22.5,12.6,.247,.367,.348,0.715,,.368,.340,87.7,12,34.2,10,5.2,59.6,18.3,20.7,53.4,45.9,212,687,389,2,28.1,
