name,player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,r_total_caught_stealing,r_total_stolen_base,exit_velocity_avg,sweet_spot_percent,barrel_batted_rate,hp_to_1b,sprint_speed,team_id,team_name,division,league,avg_220,avg_240,avg_260,avg_280,avg_300,hr_10,hr_20,hr_30,hr_40,sb_05,sb_10,sb_15,sb_20
"Payton, Mark",592622,2021,29,22,24,4,4,0,0,0,7,2,29.2,8.3,0.182,0.182,0.25,0.432,0,0,0,85.1,26.7,0.0,,27.3,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
"Pederson, Joc",592626,2021,29,429,481,102,62,19,3,18,117,39,24.3,8.1,0.238,0.422,0.31,0.732,61,3,2,91.0,31.2,10.1,4.38,26.9,144.0,ATL,NLE,NL,True,False,False,False,False,True,False,False,False,False,False,False,False
"Ramos, Henry",592656,2021,29,50,55,10,7,2,0,1,12,4,21.8,7.3,0.2,0.3,0.255,0.555,8,0,0,87.3,23.1,5.1,,26.3,109.0,ARI,NLW,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Realmuto, J.T.",592663,2021,30,476,537,125,79,25,4,17,129,48,24.0,8.9,0.263,0.439,0.343,0.782,73,3,13,89.6,31.2,8.6,4.28,28.8,143.0,PHI,NLE,NL,True,True,True,False,False,True,False,False,False,True,True,False,False
"Renfroe, Hunter",592669,2021,29,521,572,135,71,33,0,31,130,44,22.7,7.7,0.259,0.501,0.315,0.816,96,2,1,90.1,32.7,14.4,4.49,27.3,111.0,BOS,ALE,AL,True,True,False,False,False,True,True,True,False,False,False,False,False
"Rosario, Eddie",592696,2021,29,379,412,98,62,19,3,14,61,26,14.8,6.3,0.259,0.435,0.305,0.74,62,3,11,88.5,34.3,5.9,4.32,27.2,144.0,ATL,NLE,NL,True,True,False,False,False,True,False,False,False,True,True,False,False
"Sampson, Adrian",592716,2021,29,7,11,0,0,0,0,0,7,0,63.6,0.0,0.0,0.0,0.0,0.0,0,0,0,,25.0,0.0,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
"Sanchez, Aaron",592717,2021,28,10,10,0,0,0,0,0,7,0,70.0,0.0,0.0,0.0,0.0,0.0,0,0,0,72.5,0.0,0.0,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
"Simmons, Andrelton",592743,2021,31,412,451,92,77,12,0,3,62,32,13.7,7.1,0.223,0.274,0.283,0.557,31,0,1,84.1,29.1,0.6,4.69,26.1,142.0,MIN,ALC,AL,True,False,False,False,False,False,False,False,False,False,False,False,False
"Smith, Caleb",592761,2021,29,22,25,2,1,1,0,0,14,1,56.0,4.0,0.091,0.136,0.167,0.303,0,0,1,74.2,22.2,0.0,,27.0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
"Smyly, Drew",592767,2021,32,41,43,3,3,0,0,0,19,0,44.2,0.0,0.073,0.073,0.073,0.146,0,0,0,78.5,16.7,0.0,,23.1,144.0,ATL,NLE,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Velasquez, Vince",592826,2021,29,23,30,2,2,0,0,0,9,2,30.0,6.7,0.087,0.087,0.16,0.247,3,0,0,84.7,21.1,0.0,,26.2,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
"Walker, Taijuan",592836,2021,28,47,51,5,5,0,0,0,29,1,56.9,2.0,0.106,0.106,0.143,0.249,1,0,0,82.6,25.0,0.0,,27.2,121.0,NYM,NLE,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Wilkerson, Stevie",592859,2021,29,72,76,12,9,3,0,0,30,3,39.5,3.9,0.167,0.208,0.211,0.419,2,0,2,85.0,33.3,0.0,,27.0,110.0,BAL,ALE,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Williams, Mason",592863,2021,29,33,37,7,5,1,0,1,9,4,24.3,10.8,0.212,0.333,0.297,0.63,1,1,0,85.8,29.2,4.2,,26.7,121.0,NYM,NLE,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Williams, Trevor",592866,2021,29,25,28,5,5,0,0,0,9,1,32.1,3.6,0.2,0.2,0.231,0.431,1,0,0,82.8,11.1,0.0,,20.3,121.0,NYM,NLE,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Yelich, Christian",592885,2021,29,399,475,99,69,19,2,9,113,70,23.8,14.7,0.248,0.373,0.362,0.735,51,3,9,91.0,29.4,7.6,4.35,28.3,158.0,MIL,NLC,NL,True,True,False,False,False,False,False,False,False,True,False,False,False
"Merrifield, Whit",593160,2021,32,664,720,184,129,42,3,10,103,40,14.3,5.6,0.277,0.395,0.317,0.712,74,4,40,86.9,40.0,3.5,4.32,28.6,118.0,KC,ALC,AL,True,True,True,False,False,True,False,False,False,True,True,True,True
"Martinez, Carlos",593372,2021,29,24,25,2,1,1,0,0,15,0,60.0,0.0,0.083,0.125,0.083,0.208,0,0,0,79.5,20.0,0.0,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
"Bogaerts, Xander",593428,2021,28,529,603,156,98,34,1,23,113,62,18.7,10.3,0.295,0.493,0.37,0.863,79,1,5,89.6,36.4,9.7,4.29,27.7,111.0,BOS,ALE,AL,True,True,True,True,False,True,True,False,False,True,False,False,False
"Bonifacio, Jorge",593528,2021,28,11,12,1,1,0,0,0,6,1,50.0,8.3,0.091,0.091,0.167,0.258,2,0,0,74.6,20.0,0.0,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
"Rivas, Webster",593590,2021,30,68,77,15,11,2,0,2,16,8,20.8,10.4,0.221,0.338,0.303,0.641,4,0,0,86.6,26.4,3.8,4.79,25.4,135.0,SD,NLW,NL,True,False,False,False,False,False,False,False,False,False,False,False,False
"Alberto, Hanser",593643,2021,28,241,255,65,40,20,3,2,26,4,10.2,1.6,0.27,0.402,0.291,0.693,24,1,3,87.1,32.6,4.5,4.45,26.8,118.0,KC,ALC,AL,True,True,True,False,False,False,False,False,False,False,False,False,False
"Polanco, Jorge",593871,2021,27,588,644,158,88,35,2,33,118,45,18.3,7.0,0.269,0.503,0.323,0.826,98,6,11,89.4,36.1,10.1,4.23,27.9,142.0,MIN,ALC,AL,True,True,True,False,False,True,True,True,False,True,True,False,False
"Sano, Miguel",593934,2021,28,470,532,105,51,24,0,30,183,59,34.4,11.1,0.223,0.466,0.312,0.778,75,1,2,93.4,32.3,17.7,4.76,26.5,142.0,MIN,ALC,AL,True,False,False,False,False,True,True,True,False,False,False,False,False
"Difo, Wilmer",594694,2021,29,219,240,59,45,7,3,4,54,20,22.5,8.3,0.269,0.384,0.329,0.713,24,0,1,83.7,31.9,4.2,4.32,28.6,134.0,PIT,NLC,NL,True,True,True,False,False,False,False,False,False,False,False,False,False
"Calhoun, Kole",594777,2021,33,166,182,39,26,8,0,5,41,15,22.5,8.2,0.235,0.373,0.297,0.67,17,0,1,88.5,38.1,6.3,4.74,24.7,109.0,ARI,NLW,NL,True,False,False,False,False,False,False,False,False,False,False,False,False
"deGrom, Jacob",594798,2021,33,33,33,12,11,1,0,0,9,0,27.3,0.0,0.364,0.394,0.364,0.758,6,0,0,84.7,41.7,0.0,,28.3,121.0,NYM,NLE,NL,True,True,True,True,True,False,False,False,False,False,False,False,False
"Duvall, Adam",594807,2021,32,513,555,117,60,17,2,38,174,35,31.4,6.3,0.228,0.491,0.281,0.772,113,0,5,89.8,33.3,16.1,4.42,28.6,144.0,ATL,NLE,NL,True,False,False,False,False,True,True,True,False,True,False,False,False
"Eaton, Adam",594809,2021,32,254,288,51,33,10,2,6,71,22,24.7,7.6,0.201,0.327,0.282,0.609,30,0,3,86.6,29.3,4.3,4.25,28.0,108.0,LAA,ALW,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Gosselin, Phil",594838,2021,32,345,373,90,69,14,0,7,81,24,21.7,6.4,0.261,0.362,0.314,0.676,47,2,4,87.6,30.2,3.4,4.27,29.2,108.0,LAA,ALW,AL,True,True,True,False,False,False,False,False,False,False,False,False,False
"Schebler, Scott",594988,2021,30,34,34,5,2,3,0,0,17,0,50.0,0.0,0.147,0.235,0.147,0.382,0,0,0,83.9,52.9,5.9,,27.3,108.0,LAA,ALW,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Kiermaier, Kevin",595281,2021,31,348,390,90,60,19,7,4,99,33,25.4,8.5,0.259,0.388,0.328,0.716,37,5,9,86.6,29.6,4.0,4.11,29.2,139.0,TB,ALE,AL,True,True,False,False,False,False,False,False,False,True,False,False,False
"Knapp, Andrew",595284,2021,29,145,159,22,17,3,0,2,61,10,38.4,6.3,0.152,0.214,0.215,0.429,11,0,0,86.2,27.9,3.5,,27.4,143.0,PHI,NLE,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Wallach, Chad",595453,2021,29,60,66,12,9,2,1,0,32,3,48.5,4.5,0.2,0.267,0.242,0.509,6,0,0,84.9,33.3,3.3,,24.1,146.0,MIA,NLE,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Alfaro, Jorge",595751,2021,28,295,311,72,52,15,1,4,99,11,31.8,3.5,0.244,0.342,0.283,0.625,30,1,8,90.9,27.6,8.2,4.45,28.4,146.0,MIA,NLE,NL,True,True,False,False,False,False,False,False,False,True,False,False,False
"Profar, Jurickson",595777,2021,28,353,412,80,57,17,2,4,65,49,15.8,11.9,0.227,0.32,0.329,0.649,33,5,10,85.3,30.6,2.7,4.51,26.3,135.0,SD,NLW,NL,True,False,False,False,False,False,False,False,False,True,True,False,False
"Baez, Javier",595879,2021,28,502,547,133,82,18,2,31,184,28,33.6,5.1,0.265,0.494,0.319,0.813,87,5,18,90.1,32.7,13.4,4.31,28.5,121.0,NYM,NLE,NL,True,True,True,False,False,True,True,True,False,True,True,True,False
"Cave, Jake",595909,2021,28,164,178,31,21,6,1,3,62,10,34.8,5.6,0.189,0.293,0.249,0.542,13,1,1,87.0,38.8,5.8,4.42,27.9,142.0,MIN,ALC,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Evans, Phillip",595943,2021,28,214,247,44,34,5,0,5,53,28,21.5,11.3,0.206,0.299,0.312,0.611,16,0,1,88.4,25.5,4.3,4.46,27.6,134.0,PIT,NLC,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Gallagher, Cam",595956,2021,28,112,124,28,21,6,0,1,20,8,16.1,6.5,0.25,0.33,0.298,0.628,7,0,0,85.9,35.8,0.0,4.86,24.7,118.0,KC,ALC,AL,True,True,False,False,False,False,False,False,False,False,False,False,False
"Hedges, Austin",595978,2021,28,286,312,51,34,7,0,10,87,15,27.9,4.8,0.178,0.308,0.22,0.528,31,0,1,85.8,28.2,3.8,4.97,24.5,114.0,CLE,ALC,AL,False,False,False,False,False,True,False,False,False,False,False,False,False
"Heineman, Scott",595981,2021,28,30,34,3,1,0,0,2,15,3,44.1,8.8,0.1,0.3,0.206,0.506,3,0,0,82.8,26.7,13.3,,28.5,113.0,CIN,NLC,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Lindor, Francisco",596019,2021,27,452,524,104,65,16,3,20,96,58,18.3,11.1,0.23,0.412,0.322,0.734,63,4,10,90.7,35.6,8.2,4.37,27.8,121.0,NYM,NLE,NL,True,False,False,False,False,True,True,False,False,True,True,False,False
"Nogowski Jr., John",596056,2021,28,129,143,30,22,7,0,1,22,12,15.4,8.4,0.233,0.31,0.301,0.611,14,1,0,88.1,38.0,0.0,4.75,25.1,134.0,PIT,NLC,NL,True,False,False,False,False,False,False,False,False,False,False,False,False
"Odor, Rougned",596059,2021,27,322,361,65,38,12,0,15,100,27,27.7,7.5,0.202,0.379,0.286,0.665,39,1,0,89.1,29.6,9.0,4.47,26.7,147.0,NYY,ALE,AL,False,False,False,False,False,True,False,False,False,False,False,False,False
"Slater, Austin",596103,2021,28,274,306,66,41,12,1,12,84,28,27.5,9.2,0.241,0.423,0.32,0.743,32,2,15,87.1,37.4,9.5,4.39,28.5,137.0,SF,NLW,NL,True,True,False,False,False,True,False,False,False,True,True,True,False
"Story, Trevor",596115,2021,28,526,595,132,69,34,5,24,139,53,23.4,8.9,0.251,0.471,0.329,0.8,75,6,20,90.6,34.2,9.9,4.31,28.7,115.0,COL,NLW,NL,True,True,False,False,False,True,True,False,False,True,True,True,True
"Stubbs, Garrett",596117,2021,28,34,38,6,4,2,0,0,7,2,18.4,5.3,0.176,0.235,0.222,0.457,3,0,0,84.8,13.8,0.0,,28.2,117.0,HOU,ALW,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Vogelbach, Daniel",596129,2021,28,215,258,47,30,8,0,9,57,43,22.1,16.7,0.219,0.381,0.349,0.73,24,0,0,91.4,33.5,8.2,4.82,24.3,158.0,MIL,NLC,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Weaver, Luke",596133,2021,27,19,22,2,2,0,0,0,12,1,54.5,4.5,0.105,0.105,0.15,0.255,1,0,0,85.8,33.3,0.0,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
"Sanchez, Gary",596142,2021,28,383,440,78,41,13,1,23,121,52,27.5,11.8,0.204,0.423,0.307,0.73,54,0,0,89.5,34.4,13.7,4.74,25.3,147.0,NYY,ALE,AL,False,False,False,False,False,True,True,False,False,False,False,False,False
"Kepler, Max",596146,2021,28,426,490,90,46,21,4,19,96,54,19.6,11.0,0.211,0.413,0.306,0.719,54,0,10,89.8,35.3,10.8,4.36,27.4,142.0,MIN,ALC,AL,False,False,False,False,False,True,False,False,False,True,True,False,False
"Gomber, Austin",596295,2021,27,32,42,3,3,0,0,0,13,1,31.0,2.4,0.094,0.094,0.121,0.215,1,0,0,84.1,21.4,0.0,,23.5,115.0,COL,NLW,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Quinn, Roman",596451,2021,28,52,62,9,5,2,2,0,19,6,30.6,9.7,0.173,0.288,0.306,0.594,2,3,4,86.4,33.3,3.0,,30.0,143.0,PHI,NLE,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Franco, Maikel",596748,2021,28,377,403,79,46,22,0,11,67,20,16.6,5.0,0.21,0.355,0.253,0.608,47,0,0,88.2,28.1,5.1,4.84,25.0,110.0,BAL,ALE,AL,False,False,False,False,False,True,False,False,False,False,False,False,False
"Garcia, Robel",596825,2021,28,106,117,16,12,3,0,1,42,8,35.9,6.8,0.151,0.208,0.216,0.424,8,0,0,86.5,19.7,1.5,4.37,27.1,117.0,HOU,ALW,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Choi, Ji Man",596847,2021,30,258,305,59,34,14,0,11,87,45,28.5,14.8,0.229,0.411,0.348,0.759,45,0,0,91.2,39.2,9.4,4.55,25.4,139.0,TB,ALE,AL,True,False,False,False,False,True,False,False,False,False,False,False,False
"Bradley Jr., Jackie",598265,2021,31,387,428,63,40,14,3,6,132,28,30.8,6.5,0.163,0.261,0.236,0.497,29,1,7,89.7,27.9,5.0,4.42,27.2,158.0,MIL,NLC,NL,False,False,False,False,False,False,False,False,False,True,False,False,False
"Motter, Taylor",600301,2021,31,26,29,5,3,1,1,0,8,3,27.6,10.3,0.192,0.308,0.276,0.584,1,0,0,88.7,33.3,5.6,,26.0,111.0,BOS,ALE,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"La Stella, Tommy",600303,2021,32,220,242,55,36,11,1,7,26,18,10.7,7.4,0.25,0.405,0.308,0.713,27,0,0,88.9,36.9,6.2,4.65,24.9,137.0,SF,NLW,NL,True,True,False,False,False,False,False,False,False,False,False,False,False
"Severino, Pedro",600474,2021,27,379,419,94,65,18,0,11,109,34,26.0,8.1,0.248,0.383,0.308,0.691,46,0,0,88.2,33.5,7.6,4.57,25.9,110.0,BAL,ALE,AL,True,True,False,False,False,True,False,False,False,False,False,False,False
"Nunez, Renato",600524,2021,27,53,55,10,3,3,0,4,16,1,29.1,1.8,0.189,0.472,0.218,0.69,7,0,0,85.0,21.6,2.7,,27.0,116.0,DET,ALC,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Candelario, Jeimer",600869,2021,27,557,626,151,90,42,3,16,135,65,21.6,10.4,0.271,0.443,0.351,0.794,67,0,0,88.7,38.6,9.0,4.52,27.2,116.0,DET,ALC,AL,True,True,True,False,False,True,False,False,False,False,False,False,False
"Daza, Yonathan",602074,2021,27,301,331,85,69,12,2,2,60,21,18.1,6.3,0.282,0.355,0.332,0.687,30,1,2,85.2,32.3,2.0,4.33,28.3,115.0,COL,NLW,NL,True,True,True,True,False,False,False,False,False,False,False,False,False
"Urias, Ramon",602104,2021,27,262,296,73,52,14,0,7,76,28,25.7,9.5,0.279,0.412,0.361,0.773,38,2,1,89.6,34.4,9.7,4.54,27.0,110.0,BAL,ALE,AL,True,True,True,False,False,False,False,False,False,False,False,False,False
"Rondon, Jose",602922,2021,27,80,90,21,15,3,0,3,17,8,18.9,8.9,0.263,0.412,0.322,0.734,9,0,2,86.1,35.4,4.6,4.5,27.6,138.0,STL,NLC,NL,True,True,True,False,False,False,False,False,False,False,False,False,False
"Ahmed, Nick",605113,2021,31,434,473,96,58,30,3,5,104,34,22.0,7.2,0.221,0.339,0.28,0.619,38,2,7,87.2,27.9,2.4,4.46,27.8,109.0,ARI,NLW,NL,True,False,False,False,False,False,False,False,False,True,False,False,False
"Anderson, Brian",605119,2021,28,233,264,58,42,9,0,7,65,26,24.6,9.8,0.249,0.378,0.337,0.715,28,0,5,88.8,33.9,7.7,4.48,27.0,146.0,MIA,NLE,NL,True,True,False,False,False,False,False,False,False,True,False,False,False
"Barnes, Austin",605131,2021,31,200,225,43,29,8,0,6,56,20,24.9,8.9,0.215,0.345,0.299,0.644,23,0,1,85.2,29.7,4.1,4.57,26.9,119.0,LAD,NLW,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Bell, Josh",605137,2021,28,498,568,130,78,24,1,27,101,65,17.8,11.4,0.261,0.476,0.347,0.823,88,0,0,92.5,28.5,8.8,4.66,26.2,120.0,WSH,NLE,NL,True,True,True,False,False,True,True,False,False,False,False,False,False
"Betts, Mookie",605141,2021,28,466,550,123,68,29,3,23,86,68,15.6,12.4,0.264,0.487,0.367,0.854,58,5,10,90.3,34.0,7.8,4.46,27.1,119.0,LAD,NLW,NL,True,True,True,False,False,True,True,False,False,True,True,False,False
"Caratini, Victor",605170,2021,27,313,356,71,55,9,0,7,82,35,23.0,9.8,0.227,0.323,0.309,0.632,39,0,2,90.0,31.5,6.8,4.75,24.9,135.0,SD,NLW,NL,True,False,False,False,False,False,False,False,False,False,False,False,False
"Davies, Zach",605200,2021,28,34,44,6,6,0,0,0,8,0,18.2,0.0,0.176,0.176,0.176,0.352,2,0,0,82.6,22.2,0.0,,23.9,112.0,CHC,NLC,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Davis, J.D.",605204,2021,28,179,211,51,34,12,0,5,68,24,32.2,11.4,0.285,0.436,0.384,0.82,23,0,1,89.7,37.2,12.4,4.61,26.9,121.0,NYM,NLE,NL,True,True,True,True,False,False,False,False,False,False,False,False,False
"Garcia, Aramis",605244,2021,28,88,94,18,14,1,0,3,28,1,29.8,1.1,0.205,0.318,0.239,0.557,7,0,0,88.5,27.4,4.8,4.79,25.8,133.0,OAK,ALW,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Houser, Adrian",605288,2021,28,42,46,3,1,0,0,2,30,2,65.2,4.3,0.071,0.214,0.114,0.328,2,0,0,85.4,28.6,14.3,,,158.0,MIL,NLC,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Lopez, Jack",605346,2021,28,13,16,2,0,2,0,0,6,1,37.5,6.3,0.154,0.308,0.214,0.522,0,0,0,85.0,44.4,11.1,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
"Machin, Vimael",605353,2021,27,32,37,4,4,0,0,0,10,3,27.0,8.1,0.125,0.125,0.2,0.325,1,0,0,89.7,20.8,4.2,,26.5,133.0,OAK,ALW,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Martini, Nick",605361,2021,31,37,45,10,9,1,0,0,10,6,22.2,13.3,0.27,0.297,0.356,0.653,4,1,0,89.3,44.8,6.9,,25.6,112.0,CHC,NLC,NL,True,True,True,False,False,False,False,False,False,False,False,False,False
"Musgrove, Joe",605397,2021,28,51,57,7,5,2,0,0,23,1,40.4,1.8,0.137,0.176,0.151,0.327,1,0,0,82.8,18.2,0.0,,26.7,135.0,SD,NLW,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Nola, Aaron",605400,2021,28,49,63,7,5,2,0,0,29,6,46.0,9.5,0.143,0.184,0.232,0.416,4,0,0,85.8,28.6,0.0,,24.4,143.0,PHI,NLE,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Panik, Joe",605412,2021,30,236,257,49,37,9,0,3,34,17,13.2,6.6,0.208,0.284,0.266,0.55,18,0,2,86.5,33.8,1.5,4.53,26.2,146.0,MIA,NLE,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Perez, Michael",605421,2021,28,210,231,30,14,8,1,7,68,19,29.4,8.2,0.143,0.29,0.221,0.511,21,1,0,85.7,29.6,6.3,4.75,25.1,134.0,PIT,NLC,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Ross, Joe",605452,2021,28,32,39,8,8,0,0,0,14,1,35.9,2.6,0.25,0.25,0.294,0.544,3,0,0,82.3,26.1,0.0,,27.5,120.0,WSH,NLE,NL,True,True,False,False,False,False,False,False,False,False,False,False,False
"Snell, Blake",605483,2021,28,34,37,4,4,0,0,0,17,0,45.9,0.0,0.118,0.118,0.118,0.236,0,0,0,83.5,25.0,0.0,,20.7,135.0,SD,NLW,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Thompson, Zach",605507,2021,27,15,18,2,1,1,0,0,9,0,50.0,0.0,0.133,0.2,0.133,0.333,0,0,0,90.6,11.1,0.0,,24.0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
"Woodruff, Brandon",605540,2021,28,52,58,6,6,0,0,0,28,3,48.3,5.2,0.115,0.115,0.164,0.279,2,0,0,82.9,25.9,0.0,,20.3,158.0,MIL,NLC,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Zimmer, Bradley",605548,2021,28,299,348,68,50,9,1,8,122,30,35.1,8.6,0.227,0.344,0.325,0.669,35,3,15,90.7,30.4,9.4,4.21,29.4,114.0,CLE,ALC,AL,True,False,False,False,False,False,False,False,False,True,True,True,False
"Castro, Harold",605612,2021,27,315,339,89,72,13,1,3,72,14,21.2,4.1,0.283,0.359,0.31,0.669,37,1,1,88.6,44.0,3.2,4.57,26.2,116.0,DET,ALC,AL,True,True,True,True,False,False,False,False,False,False,False,False,False
"Arcia, Orlando",606115,2021,26,81,89,16,11,3,0,2,19,7,21.3,7.9,0.198,0.309,0.258,0.567,14,0,1,88.2,27.0,3.2,4.6,26.8,144.0,ATL,NLE,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Tapia, Raimel",606132,2021,27,487,533,133,99,26,2,6,70,40,13.1,7.5,0.273,0.372,0.327,0.699,50,6,20,85.7,19.9,2.1,4.22,28.3,115.0,COL,NLW,NL,True,True,True,False,False,False,False,False,False,True,True,True,True
"Aquino, Aristides",606157,2021,27,174,204,33,16,6,1,10,75,27,36.8,13.2,0.19,0.408,0.299,0.707,23,2,2,89.0,31.7,14.9,4.46,28.3,113.0,CIN,NLC,NL,False,False,False,False,False,True,False,False,False,False,False,False,False
"Hernandez, Teoscar",606192,2021,28,550,595,163,102,29,0,32,148,36,24.9,6.1,0.296,0.524,0.346,0.87,116,4,12,91.8,37.4,13.9,4.34,28.5,141.0,TOR,ALE,AL,True,True,True,True,False,True,True,True,False,True,True,False,False
"Mercedes, Yermin",606213,2021,28,240,262,65,48,9,1,7,46,20,17.6,7.6,0.271,0.404,0.328,0.732,37,1,0,87.3,35.4,7.2,4.6,26.4,145.0,CWS,ALC,AL,True,True,True,False,False,False,False,False,False,False,False,False,False
"Peraza, Jose",606299,2021,27,142,154,29,16,7,0,6,26,9,16.9,5.8,0.204,0.38,0.266,0.646,20,0,1,85.6,31.0,4.3,4.44,27.5,121.0,NYM,NLE,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Marte, Ketel",606466,2021,27,340,374,108,64,29,1,14,60,31,16.0,8.3,0.318,0.532,0.377,0.909,50,0,2,91.1,33.5,8.9,4.52,26.7,109.0,ARI,NLW,NL,True,True,True,True,True,True,False,False,False,False,False,False,False
"Greiner, Grayson",606988,2021,28,72,82,17,12,4,0,1,31,9,37.8,11.0,0.236,0.333,0.321,0.654,7,0,0,85.4,31.0,4.8,4.69,26.5,116.0,DET,ALC,AL,True,False,False,False,False,False,False,False,False,False,False,False,False
"Haase, Eric",606992,2021,28,351,381,81,46,12,1,22,119,26,31.2,6.8,0.231,0.459,0.286,0.745,61,0,2,90.9,35.9,13.7,4.5,27.9,116.0,DET,ALC,AL,True,False,False,False,False,True,True,False,False,False,False,False,False
"Hager, Jake",606993,2021,28,26,30,3,3,0,0,0,14,4,46.7,13.3,0.115,0.115,0.233,0.348,2,0,0,86.2,50.0,0.0,,27.0,109.0,ARI,NLW,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Nimmo, Brandon",607043,2021,28,325,386,95,67,17,3,8,79,54,20.5,14.0,0.292,0.437,0.401,0.838,28,4,5,89.3,34.3,4.0,4.2,28.9,121.0,NYM,NLE,NL,True,True,True,True,False,False,False,False,False,True,False,False,False
"Peterson, Jace",607054,2021,31,259,302,64,46,11,1,6,68,38,22.5,12.6,0.247,0.367,0.348,0.715,31,1,10,87.7,34.2,5.2,4.33,28.1,158.0,MIL,NLC,NL,True,True,False,False,False,False,False,False,False,True,True,False,False
"Wilson, Jacob",607111,2021,30,20,21,3,1,1,1,0,3,1,14.3,4.8,0.15,0.3,0.19,0.49,1,0,0,81.7,11.8,5.9,,25.7,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
"Fedde, Erick",607200,2021,28,36,43,0,0,0,0,0,14,1,32.6,2.3,0.0,0.0,0.026,0.026,1,0,0,76.9,7.1,0.0,,24.9,120.0,WSH,NLE,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Turner, Trea",607208,2021,28,595,646,195,130,34,3,28,110,41,17.0,6.3,0.328,0.536,0.375,0.911,77,5,32,89.6,34.6,7.4,4.13,30.7,119.0,LAD,NLW,NL,True,True,True,True,True,True,True,False,False,True,True,True,True
"Gant, John",607231,2021,28,13,18,0,0,0,0,0,8,0,44.4,0.0,0.0,0.0,0.0,0.0,0,0,0,79.2,20.0,0.0,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
"Smith, Kevan",607345,2021,33,95,106,16,13,3,0,0,31,10,29.2,9.4,0.168,0.2,0.248,0.448,3,0,0,87.5,26.6,1.6,4.82,25.4,144.0,ATL,NLE,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Beaty, Matt",607461,2021,28,204,234,55,43,4,1,7,44,20,18.8,8.5,0.27,0.402,0.363,0.765,40,2,2,86.7,26.9,3.8,4.47,27.1,119.0,LAD,NLW,NL,True,True,True,False,False,False,False,False,False,False,False,False,False
"Blandino, Alex",607468,2021,28,70,82,14,10,4,0,0,28,8,34.1,9.8,0.2,0.257,0.317,0.574,5,0,1,85.4,33.3,0.0,4.9,25.0,113.0,CIN,NLC,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Freeland, Kyle",607536,2021,28,33,40,6,5,1,0,0,17,2,42.5,5.0,0.182,0.212,0.222,0.434,4,0,0,86.9,19.0,0.0,,24.9,115.0,COL,NLW,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
