name,player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,r_total_caught_stealing,r_total_stolen_base,exit_velocity_avg,sweet_spot_percent,barrel_batted_rate,hp_to_1b,sprint_speed,team_id,team_name,division,league,avg_220,avg_240,avg_260,avg_280,avg_300,hr_10,hr_20,hr_30,hr_40,sb_05,sb_10,sb_15,sb_20
"Thompson, Trayce",572204,2021,30,28,35,7,2,1,0,4,11,7,31.4,20.0,0.25,0.714,0.4,1.114,9,0,2,92.3,47.1,35.3,,28.1,112.0,CHC,NLC,NL,True,True,False,False,False,False,False,False,False,False,False,False,False
"Voit III, Luke",572228,2021,30,213,241,51,32,7,1,11,74,21,30.7,8.7,0.239,0.437,0.328,0.765,35,0,0,90.7,35.3,15.8,4.9,24.9,147.0,NYY,ALE,AL,True,False,False,False,False,True,False,False,False,False,False,False,False
"Walker, Christian",572233,2021,30,401,445,98,64,23,1,10,106,38,23.8,8.5,0.244,0.382,0.315,0.697,46,0,0,88.8,34.0,6.4,4.54,27.4,109.0,ARI,NLW,NL,True,True,False,False,False,True,False,False,False,False,False,False,False
"Zunino, Mike",572287,2021,30,333,375,72,26,11,2,33,132,34,35.2,9.1,0.216,0.559,0.301,0.86,62,0,0,90.7,31.7,24.3,4.74,26.0,139.0,TB,ALE,AL,False,False,False,False,False,True,True,True,False,False,False,False,False
"Carpenter, Matt",572761,2021,35,207,249,35,20,11,1,3,77,35,30.9,14.1,0.169,0.275,0.305,0.58,21,0,2,90.0,45.0,11.5,4.54,25.7,138.0,STL,NLC,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Dickerson, Corey",572816,2021,32,336,365,91,62,18,5,6,68,25,18.6,6.8,0.271,0.408,0.326,0.734,29,5,6,87.8,29.0,3.0,4.32,27.2,141.0,TOR,ALE,AL,True,True,True,False,False,False,False,False,False,True,False,False,False
"Garneau, Dustin",572863,2021,33,62,68,13,2,5,0,6,18,3,26.5,4.4,0.21,0.581,0.25,0.831,11,0,0,86.4,32.6,10.9,4.63,26.2,116.0,DET,ALC,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Ruf, Darin",573131,2021,34,262,312,71,40,13,2,16,87,46,27.9,14.7,0.271,0.519,0.385,0.904,43,0,2,93.0,41.5,14.2,4.7,25.9,137.0,SF,NLW,NL,True,True,True,False,False,True,False,False,False,False,False,False,False
"Stroman, Marcus",573186,2021,30,51,58,5,3,2,0,0,24,4,41.4,6.9,0.098,0.137,0.164,0.301,1,0,1,80.0,26.7,0.0,,24.1,121.0,NYM,NLE,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Yastrzemski, Mike",573262,2021,30,468,532,105,49,28,3,25,131,51,24.6,9.6,0.224,0.457,0.311,0.768,71,0,4,89.5,33.1,10.3,4.39,27.3,137.0,SF,NLW,NL,True,False,False,False,False,True,True,False,False,False,False,False,False
