"name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","r_run","xba","xslg","xobp","avg_swing_speed","squared_up_contact","squared_up_swing","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","n_outs_above_average","n_bolts","sprint_speed"
"Posey III, Buster","457763","2021","34","395","454","120","79","23","0","18","87","56",".304",".499",".390","0.889","56","68",".281",".469",".370",,,,"88.5","8.7",38.4,"25",8.1,,,"24.3"
"Bruce, Jay","457803","2021","34","34","39","4","2","1","0","1","13","5",".118",".235",".231","0.466","3","3",".161",".215",".269",,,,"84","8.5",38.1,"0",0,,,"23.2"
"Happ, J.A.","457918","2021","38","14","15","0","0","0","0","0","5","1",".000",".000",".067","0.067","0","0",".085",".102",".146",,,,"84.5","-0.3",33.3,"0",0,,,"22.7"
"Votto, Joey","458015","2021","37","448","533","119","59","23","1","36","127","77",".266",".563",".375","0.938","99","73",".274",".592",".383",,,,"92.9","18.2",44.3,"56",17.2,,,"25.2"
"Gardner, Brett","458731","2021","37","387","461","86","56","16","4","10","100","60",".222",".362",".327","0.689","39","47",".219",".322",".326",,,,"86.7","12.5",29.2,"10",3.4,"-1","7","28.6"
"Joyce, Matt","459964","2021","36","55","69","5","2","1","0","2","16","12",".091",".218",".261","0.479","7","6",".162",".299",".318",,,,"85.7","14.8",25,"4",10,"0",,"26.3"
"Butera, Drew","460077","2021","37","32","36","3","2","1","0","0","16","0",".094",".125",".091","0.216","5","1",".145",".169",".152",,,,"84.9","18.9",45,"0",0,,,"24.9"
"Romine, Andrew","461865","2021","35","60","64","11","8","2","0","1","24","4",".183",".267",".234","0.501","5","7",".190",".234",".241",,,,"80.5","7.1",36.1,"0",0,,,"27.5"
"Andrus, Elvis","462101","2021","32","497","541","121","91","25","2","3","81","31",".243",".320",".294","0.614","37","60",".273",".375",".324",,,,"87.8","8.1",34,"9",2.1,,,"26.7"
"Sandoval, Pablo","467055","2021","34","73","86","13","9","0","0","4","25","11",".178",".342",".302","0.644","11","11",".203",".390",".323",,,,"91.5","14",41.7,"5",10.4,,,"22.6"
"Ramos, Wilson","467092","2021","33","151","163","31","18","5","0","8","36","9",".205",".397",".248","0.645","20","15",".236",".413",".283",,,,"89.6","6.6",30.2,"13",11.2,,,"23.8"
"Santana, Carlos","467793","2021","35","565","659","121","87","15","0","19","102","86",".214",".342",".319","0.661","69","66",".244",".421",".345",,,,"89.9","12.9",28,"32",6.8,,,"25.0"
