"name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","r_run","xba","xslg","xobp","avg_swing_speed","squared_up_contact","squared_up_swing","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","n_outs_above_average","n_bolts","sprint_speed"
"Mondesi, Adalberto","609275","2021","25","126","136","29","14","8","1","6","43","6",".230",".452",".271","0.723","17","19",".233",".473",".274",,,,"92.3","16.1",29.1,"11",12.8,,"8","28.4"
"Andujar, Miguel","609280","2021","26","154","162","39","31","2","0","6","28","7",".253",".383",".284","0.667","12","19",".268",".419",".298",,,,"87.1","6.1",31.5,"7",5.5,"-3",,"27.5"
"Vosler, Jason","613564","2021","27","73","82","13","6","4","0","3","21","7",".178",".356",".256","0.612","9","12",".215",".402",".289",,,,"88.5","18.6",28.3,"5",9.4,,,"26.5"
"Cordero, Franchy","614173","2021","26","127","136","24","17","6","0","1","51","8",".189",".260",".237","0.497","9","12",".194",".293",".242",,,,"88.6","7.7",33.8,"4",5.2,"0","1","28.6"
"Reyes, Franmil","614177","2021","25","418","466","106","56","18","2","30","149","43",".254",".522",".324","0.846","85","57",".246",".512",".319",,,,"91.9","9.8",31.3,"46",16.9,,,"26.1"
"Torrens, Luis","620443","2021","25","346","378","84","51","16","2","15","99","28",".243",".431",".299","0.730","47","39",".245",".428",".304",,,,"90.9","6.1",34.4,"26",10.4,,,"26.8"
"Robertson, Daniel","621002","2021","27","73","90","12","8","2","0","2","28","12",".164",".274",".303","0.577","4","10",".179",".290",".319",,,,"82.9","10.4",31.9,"3",6.4,,,"26.5"
"Lopes, Tim","621005","2021","27","10","11","1","1","0","0","0","4","1",".100",".100",".182","0.282","0","1",".133",".249",".212",,,,"94.7","33.3",33.3,"0",0,,,
"Martin Jr., Richie","621006","2021","26","98","105","23","20","2","0","1","28","4",".235",".286",".269","0.555","8","9",".210",".266",".248",,,,"85.8","8.3",30.6,"0",0,,"10","29.2"
"Schrock, Max","621011","2021","26","125","134","36","24","7","2","3","24","8",".288",".448",".328","0.776","14","19",".265",".370",".307",,,,"85","18.5",40.2,"3",2.9,"0",,"27.1"
"Swanson, Dansby","621020","2021","27","588","653","146","84","33","2","27","167","52",".248",".449",".311","0.760","88","78",".251",".455",".316",,,,"89.3","14.1",36.8,"49",11.4,,"4","28.3"
"Newman, Kevin","621028","2021","27","517","554","117","87","22","3","5","41","27",".226",".309",".265","0.574","39","50",".255",".330",".293",,,,"85.3","9.9",32,"8",1.6,,,"28.4"
"Taylor, Chris","621035","2021","30","507","582","129","80","25","4","20","167","63",".254",".438",".344","0.782","73","92",".237",".422",".330",,,,"88.2","17.4",38.1,"35",10.2,"-2","1","28.8"
"Correa, Carlos","621043","2021","26","555","640","155","94","34","1","26","116","75",".279",".485",".366","0.851","92","104",".296",".482",".380",,,,"90.2","12.1",33.5,"42",9.4,,,"27.0"
"Eflin, Zach","621107","2021","27","29","37","0","0","0","0","0","15","1",".000",".000",".065","0.065","1","1",".062",".071",".123",,,,"82.9","-1",10,"0",0,,,"22.6"
"Buehler, Walker","621111","2021","26","69","82","7","5","2","0","0","45","5",".101",".130",".162","0.292","3","5",".082",".112",".144",,,,"85.7","-7.6",12.5,"0",0,,,"24.7"
"Mills, Alec","621219","2021","29","32","36","1","0","1","0","0","26","0",".031",".063",".031","0.094","0","1",".034",".048",".034",,,,"89.4","-2.5",30,"0",0,,,
"Dahl, David","621311","2021","27","205","220","43","28","11","0","4","59","10",".210",".322",".247","0.569","18","19",".246",".398",".284",,,,"88.1","11.5",37.3,"10",6.7,"-2",,"27.7"
"Phillips, Brett","621433","2021","27","253","292","52","26","9","4","13","113","33",".206",".427",".300","0.727","44","50",".179",".359",".279",,,,"89.6","17.8",31.9,"16",11.1,"10","1","28.5"
"Taylor, Tyrone","621438","2021","27","243","271","60","36","9","3","12","59","20",".247",".457",".321","0.778","43","33",".239",".401",".315",,,,"88.6","16",29.7,"14",7.6,"3","5","28.6"
"Buxton, Byron","621439","2021","27","235","254","72","30","23","0","19","62","13",".306",".647",".358","1.005","32","50",".300",".611",".352",,,,"92.5","13.3",35.3,"31",17.9,"8","32","29.9"
"Brinson, Lewis","621446","2021","27","274","290","62","39","14","0","9","72","13",".226",".376",".263","0.639","33","24",".242",".374",".279",,,,"88.5","14",29.9,"13",6.4,"0","1","28.6"
"Bolt, Skye","621450","2021","27","57","60","5","3","1","0","1","15","1",".088",".158",".103","0.261","4","5",".187",".267",".201",,,,"86.4","10.8",15.9,"1",2.3,"2",,"28.9"
"Duggar, Steven","621453","2021","27","268","297","69","42","14","5","8","88","27",".257",".437",".330","0.767","35","45",".229",".403",".304",,,,"88","15.2",40,"15",8.3,"4","3","28.4"
"Rios, Edwin","621458","2021","27","51","60","4","3","0","0","1","18","7",".078",".137",".217","0.354","1","4",".137",".290",".266",,,,"90","11.1",27.3,"4",12.1,,,"26.3"
"Stewart, DJ","621466","2021","27","270","318","55","33","10","0","12","89","44",".204",".374",".324","0.698","33","39",".205",".382",".325",,,,"87.8","19.7",29.3,"17",9.4,"-5",,"26.7"
"Ward, Taylor","621493","2021","27","208","237","52","29","15","0","8","55","20",".250",".438",".332","0.770","33","33",".259",".453",".340",,,,"89.6","16.4",39.1,"16",10.3,"-1","1","28.2"
"Mathisen, Wyatt","621500","2021","27","42","51","5","4","0","0","1","21","5",".119",".190",".255","0.445","8","3",".176",".279",".302",,,,"86.8","23.7",31.8,"1",4.5,,,"25.2"
"Nido, Tomás","621512","2021","27","153","161","34","25","5","1","3","44","5",".222",".327",".261","0.588","13","16",".239",".392",".277",,,,"88.7","10",42.2,"7",6.4,,,"25.6"
"Bemboom, Anthony","621532","2021","31","27","28","6","6","0","0","0","10","1",".222",".222",".250","0.472","2","2",".185",".224",".214",,,,"83.1","1.9",29.4,"0",0,,,"27.1"
"Wisdom, Patrick","621550","2021","29","338","375","78","37","13","0","28","153","32",".231",".518",".305","0.823","61","54",".216",".460",".291",,,,"91.2","19.1",39.5,"30",16.2,"-2",,"28.1"
"Moroff, Max","621559","2021","28","16","16","1","1","0","0","0","10","0",".063",".063",".063","0.126","1","0",".106",".215",".106",,,,"86.1","31.3",33.3,"1",16.7,,,
"Wendle, Joey","621563","2021","31","460","501","122","76","31","4","11","113","28",".265",".422",".319","0.741","54","73",".238",".356",".295",,,,"87.9","6.2",30.6,"16",4.6,,,"27.9"
"Olson, Matt","621566","2021","27","565","673","153","79","35","0","39","113","88",".271",".540",".371","0.911","111","101",".264",".507",".374",,,,"91.6","16.2",32.4,"59",12.7,,,"25.9"
"Dean, Austin","621573","2021","27","30","38","7","4","2","0","1","11","6",".233",".400",".342","0.742","7","5",".193",".311",".318",,,,"87.4","5.1",33.3,"1",4.8,,,"27.5"
"Wood, Alex","622072","2021","30","38","47","0","0","0","0","0","26","5",".000",".000",".116","0.116","0","0",".032",".037",".145",,,,"85.7","-7",12.5,"0",0,,,"22.5"
"Jones, Taylor","622100","2021","27","102","108","25","14","8","1","2","29","4",".245",".402",".269","0.671","16","11",".210",".330",".240",,,,"90.6","12.8",32,"5",6.7,,,"26.2"
"Duffy, Matt","622110","2021","30","289","322","83","66","12","0","5","63","25",".287",".381",".357","0.738","30","45",".275",".385",".346",,,,"87.5","7.5",40.5,"9",4,,,"26.4"
"Muñoz, Yairo","622168","2021","26","11","11","1","1","0","0","0","2","0",".091",".091",".091","0.182","0","0",".150",".192",".150",,,,"85.1","18",33.3,"0",0,,,"27.5"
"Walton, Donovan","622268","2021","27","63","69","13","8","2","1","2","15","4",".206",".365",".254","0.619","7","6",".226",".335",".273",,,,"88","9.4",34,"4",8,,,"26.9"
"Castillo, Luis","622491","2021","28","49","59","8","6","2","0","0","23","1",".163",".204",".180","0.384","2","1",".123",".160",".141",,,,"84","0.8",14.3,"1",2.9,,,"25.0"
"Crismatt, Nabil","622503","2021","26","10","11","0","0","0","0","0","6","0",".000",".000",".000","0.000","0","0",".054",".055",".054",,,,"68.5","-38.4",0,"0",0,,,
"Margot, Manuel","622534","2021","26","421","464","107","76","18","3","10","70","37",".254",".382",".313","0.695","57","55",".268",".397",".328",,,,"87.9","10.7",31.5,"18",5.1,"17","15","28.6"
"Reyes, Pablo","622569","2021","27","78","87","20","14","5","0","1","15","9",".256",".359",".333","0.692","3","12",".227",".318",".307",,,,"87.1","15",28.6,"2",3.2,,,"27.7"
"Senzatela, Antonio","622608","2021","26","39","51","2","2","0","0","0","19","0",".051",".051",".051","0.102","1","1",".073",".099",".073",,,,"79.8","-4.2",12.5,"0",0,,,"22.8"
"Camargo, Johan","622666","2021","27","16","18","0","0","0","0","0","6","2",".000",".000",".111","0.111","0","1",".095",".132",".195",,,,"82","3.1",10,"0",0,,,"23.1"
"Reyes, Victor","622682","2021","26","209","220","54","35","10","4","5","55","8",".258",".416",".284","0.700","22","26",".257",".404",".283",,,,"89.5","6.6",37.6,"13",8.3,"-2","4","28.8"
"Hernández, Elieser","622694","2021","26","14","18","1","1","0","0","0","7","0",".071",".071",".071","0.142","0","1",".166",".190",".166",,,,"86.3","-6.5",27.3,"0",0,,,
"Mateo, Jorge","622761","2021","26","194","209","48","32","11","1","4","55","9",".247",".376",".293","0.669","14","19",".243",".361",".289",,,,"85.4","14.1",33.3,"8",5.7,"1","40","30.3"
"Velazquez, Andrew","623205","2021","26","67","68","15","9","4","1","1","23","1",".224",".358",".235","0.593","6","11",".220",".366",".231",,,,"90.2","9.5",45.5,"6",13.6,,"8","29.4"
"Giambrone, Trent","623508","2021","27","13","13","2","2","0","0","0","4","0",".154",".154",".154","0.308","0","0",".118",".140",".118",,,,"86","1.6",0,"0",0,,,"27.4"
"Bote, David","623520","2021","28","291","327","58","38","10","2","8","73","27",".199",".330",".276","0.606","35","32",".226",".393",".304",,,,"89.9","9.8",27.5,"22",9.9,,,"27.2"
"Ramírez, Harold","623912","2021","26","339","361","91","62","21","1","7","56","14",".268",".398",".305","0.703","41","33",".262",".395",".300",,,,"91.3","6.2",24.5,"18",6.3,"-6","7","28.6"
"Santander, Anthony","623993","2021","26","406","438","98","56","24","0","18","101","23",".241",".433",".286","0.719","50","54",".269",".446",".314",,,,"90.7","18",34.5,"26",8.4,"-4",,"26.2"
"Suárez, Ranger","624133","2021","25","16","23","3","1","2","0","0","5","1",".188",".313",".278","0.591","1","2",".207",".246",".295",,,,"83.9","5.9",25,"0",0,,,"23.3"
"Alonso, Pete","624413","2021","26","561","637","147","80","27","3","37","127","60",".262",".519",".344","0.863","94","81",".271",".542",".352",,,,"91","14.7",34.5,"65",14.8,,,"26.0"
"Arroyo, Christian","624414","2021","26","164","181","43","25","12","0","6","44","8",".262",".445",".324","0.769","25","22",".232",".390",".296",,,,"86.3","9.4",35.5,"9",7.4,,,"28.0"
"Biggio, Cavan","624415","2021","26","250","294","56","38","10","1","7","78","37",".224",".356",".322","0.678","27","27",".207",".331",".308",,,,"88.9","15.6",32.8,"10",5.6,"-2",,"28.3"
"Conforto, Michael","624424","2021","28","406","479","94","60","20","0","14","104","59",".232",".384",".344","0.728","55","52",".253",".436",".364",,,,"88.5","13.2",32.9,"28",9.2,"1",,"27.0"
"Frazier, Adam","624428","2021","29","577","639","176","130","36","5","5","69","48",".305",".411",".368","0.779","43","83",".288",".376",".353",,,,"85.4","12.6",38.9,"5",1,,,"27.1"
"Trevino, Jose","624431","2021","28","285","302","68","49","14","0","5","57","12",".239",".340",".267","0.607","30","23",".248",".374",".279",,,,"87.5","9.5",33.5,"10",4.3,,,"24.6"
"Gordon, Nick","624503","2021","25","200","216","48","34","9","1","4","55","12",".240",".355",".292","0.647","23","19",".266",".418",".316",,,,"91.2","9.4",35.6,"10",6.8,"-4",,"27.7"
"McGuire, Reese","624512","2021","26","198","217","50","34","15","0","1","44","15",".253",".343",".310","0.653","10","22",".237",".328",".298",,,,"87.5","13.4",39.7,"4",2.6,,,"26.4"
"Nuñez, Dom","624513","2021","26","228","263","43","18","12","3","10","91","34",".189",".399",".293","0.692","33","31",".170",".312",".278",,,,"86","21.9",39.1,"13",9.4,,,"25.3"
"Soler, Jorge","624585","2021","29","516","602","115","61","27","0","27","142","67",".223",".432",".316","0.748","70","74",".250",".494",".341",,,,"91.2","15.7",30.9,"48",12.7,"-7",,"26.9"
"Sosa, Edmundo","624641","2021","25","288","326","78","60","8","4","6","63","17",".271",".389",".346","0.735","27","39",".259",".386",".336",,,,"86.7","6",28.9,"9",3.9,,"32","29.6"
"Heredia, Guillermo","628338","2021","30","305","347","67","36","26","0","5","81","32",".220",".354",".311","0.665","26","46",".220",".336",".312",,,,"86.6","12.7",35.6,"9",4,"5",,"27.8"
"Hernandez, Yadiel","628450","2021","33","264","289","72","54","8","1","9","59","22",".273",".413",".329","0.742","32","33",".246",".414",".306",,,,"89.7","5.2",31.4,"12",5.8,"-5",,"25.4"
"Ibáñez, Andy","628451","2021","28","253","272","70","46","15","2","7","35","15",".277",".435",".321","0.756","25","31",".264",".415",".312",,,,"88.8","15.5",35.5,"16",7.3,,,"28.0"
"Urías, Julio","628711","2021","24","59","70","12","10","2","0","0","22","0",".203",".237",".217","0.454","9","5",".139",".189",".154",,,,"86.8","8.4",23.4,"1",2.1,,,"22.3"
"Cronenworth, Jake","630105","2021","27","567","643","151","90","33","7","21","90","55",".266",".460",".340","0.800","71","94",".276",".443",".351",,,,"88.6","12.5",35.8,"35",7.2,,"5","28.5"
"Crowe, Wil","640444","2021","26","35","41","2","1","1","0","0","14","1",".057",".086",".108","0.194","0","2",".127",".176",".174",,,,"84.7","-2",24,"1",4,,,"22.3"
"Frazier, Clint","640449","2021","26","183","218","34","20","9","0","5","65","32",".186",".317",".317","0.634","15","20",".207",".354",".334",,,,"86.9","13.9",28.8,"12",10.2,"-8",,"27.1"
"Meadows, Austin","640457","2021","26","518","591","121","62","29","3","27","122","59",".234",".458",".315","0.773","106","79",".240",".425",".325",,,,"89.3","21.7",36.1,"35",8.7,"-4",,"27.5"
"Mercado, Óscar","640458","2021","26","214","238","48","30","11","1","6","42","21",".224",".369",".300","0.669","19","27",".217",".328",".293",,,,"86.2","16.4",24.9,"7",4,"2","2","28.9"
"Pinder, Chad","640461","2021","29","214","233","52","29","16","1","6","62","16",".243",".411",".300","0.711","27","30",".261",".507",".319",,,,"92.6","7.4",36.6,"25",16.3,"-1",,"26.6"
"Alzolay, Adbert","640470","2021","26","31","33","2","1","1","0","0","13","1",".065",".097",".094","0.191","0","1",".064",".070",".094",,,,"82","-24.9",5.3,"0",0,,,"23.9"
"López, Pablo","641154","2021","25","33","35","2","0","2","0","0","17","0",".061",".121",".061","0.182","0","2",".127",".171",".127",,,,"79.6","-6.4",27.8,"1",5.6,,,"24.3"
"Anderson, Tim","641313","2021","28","527","551","163","115","29","2","17","119","22",".309",".469",".338","0.807","61","94",".278",".442",".308",,,,"89.6","4.3",32.5,"32",7.8,,"32","28.2"
"Bauers, Jake","641343","2021","25","282","315","59","48","7","0","4","78","30",".209",".277",".290","0.567","19","27",".233",".361",".311",,,,"88.1","20",36.3,"11",5.4,"-1",,"27.4"
"Bellinger, Cody","641355","2021","25","315","350","52","31","9","2","10","94","31",".165",".302",".240","0.542","36","39",".209",".358",".281",,,,"89.3","22.2",33.5,"16",7.1,"2","1","28.0"
"Calhoun, Willie","641432","2021","26","260","284","65","46","10","3","6","34","21",".250",".381",".310","0.691","25","26",".275",".403",".332",,,,"90.2","14.9",28.6,"8",3.5,"-2",,"26.2"
"Collins, Zack","641470","2021","26","195","231","41","24","13","0","4","69","34",".210",".338",".330","0.668","26","25",".220",".391",".339",,,,"91.1","20.9",40.9,"13",10.2,,,"25.4"
"Crawford, J.P.","641487","2021","26","619","687","169","123","37","0","9","114","58",".273",".376",".338","0.714","54","89",".257",".339",".325",,,,"86.3","9.8",34.3,"12",2.4,,,"27.5"
"Davis, Jonathan","641505","2021","29","87","103","11","9","1","0","1","26","12",".126",".172",".252","0.424","4","20",".194",".306",".310",,,,"85.1","7.7",25.8,"4",6.5,"2",,"28.6"
"Dozier, Hunter","641531","2021","29","487","543","105","56","27","6","16","154","43",".216",".394",".285","0.679","54","55",".224",".388",".295",,,,"89.9","15.8",33,"30",8.8,"-9",,"28.2"
"Engel, Adam","641553","2021","29","123","140","31","15","9","0","7","31","11",".252",".496",".336","0.832","18","21",".267",".440",".353",,,,"86.8","14.4",38.7,"8",8.6,"3","14","29.7"
"Fargas, Johneshwy","641561","2021","26","52","54","13","8","3","2","0","15","1",".250",".385",".264","0.649","5","4",".207",".251",".222",,,,"83.1","6.8",34.2,"0",0,"1",,"28.2"
"Fowler, Dustin","641583","2021","26","41","46","7","6","1","0","0","20","3",".171",".195",".239","0.434","2","3",".136",".167",".211",,,,"89.5","20.1",27.3,"0",0,"0","1","28.1"
"Fraley, Jake","641584","2021","26","214","265","45","29","7","0","9","71","46",".210",".369",".352","0.721","36","27",".229",".361",".371",,,,"85.3","12.1",38.4,"9",6.2,"1",,"27.7"
"Garver, Mitch","641598","2021","30","207","243","53","25","15","0","13","71","31",".256",".517",".358","0.875","34","29",".256",".545",".361",,,,"92.3","19",38.4,"24",17.4,,,"25.6"
"Guillorme, Luis","641645","2021","26","132","156","35","31","3","0","1","23","23",".265",".311",".374","0.685","5","13",".238",".313",".351",,,,"86.4","4.7",34.5,"1",0.9,,,"25.9"
"Hampson, Garrett","641658","2021","26","453","494","106","68","21","6","11","118","33",".234",".380",".289","0.669","33","69",".236",".374",".292",,,,"87","13",34.7,"17",5,"6","67","29.8"
"Heim, Jonah","641680","2021","26","265","285","52","29","13","0","10","58","15",".196",".358",".239","0.597","32","22",".230",".372",".275",,,,"87.1","15.5",34.6,"13",6.2,,,"26.0"
"Hermosillo, Michael","641684","2021","26","36","38","7","2","2","0","3","12","1",".194",".500",".237","0.737","7","5",".202",".534",".244",,,,"89.3","30.4",29.2,"5",20.8,"2",,"28.2"
"Kuhl, Chad","641771","2021","28","21","24","1","1","0","0","0","11","1",".048",".048",".091","0.139","0","1",".107",".114",".148",,,,"84.5","-18.9",8.3,"0",0,,,"22.1"
"Lauer, Eric","641778","2021","26","26","37","4","3","0","0","1","15","3",".154",".269",".258","0.527","4","3",".114",".191",".230",,,,"91.3","13.3",11.1,"1",5.6,,,"23.5"
"Lewis, Kyle","641786","2021","25","130","147","32","23","4","0","5","37","16",".246",".392",".333","0.725","11","15",".252",".471",".338",,,,"89.7","16.8",45.2,"13",14,"0",,"27.7"
"Locastro, Tim","641796","2021","28","139","156","25","19","4","0","2","33","7",".180",".252",".263","0.515","7","15",".207",".268",".288",,,,"82.1","14.3",32.7,"1",0.9,"1","36","30.6"
"Mahle, Tyler","641816","2021","26","55","66","3","3","0","0","0","19","4",".055",".055",".119","0.174","1","1",".149",".220",".207",,,,"84.9","-9.9",16.3,"1",2.3,,,"25.8"
"Mancini III, Trey","641820","2021","29","556","616","142","87","33","1","21","143","51",".255",".432",".326","0.758","71","77",".266",".452",".337",,,,"88.9","9.7",36,"43",10.4,,,"26.5"
"Martin, Jason","641829","2021","25","144","154","30","21","3","0","6","41","8",".208",".354",".248","0.602","17","14",".226",".380",".266",,,,"87.5","11.4",33.3,"8",7.6,"1",,"27.6"
"McKinney, Billy","641856","2021","26","265","300","51","28","11","3","9","79","32",".192",".358",".280","0.638","27","32",".210",".355",".297",,,,"88.1","17.6",30.9,"12",6.4,"2",,"27.6"
"McMahon, Ryan","641857","2021","26","528","596","134","78","32","1","23","147","59",".254",".449",".331","0.780","86","80",".244",".426",".323",,,,"90.5","14.3",40.2,"28",7.3,,,"26.2"
"Neuse, Sheldon","641914","2021","26","65","66","11","7","1","0","3","26","1",".169",".323",".182","0.505","4","6",".193",".382",".205",,,,"88.8","13.2",30.8,"5",12.8,,,"27.0"
"Nottingham, Jacob","641924","2021","26","40","45","6","2","1","0","3","20","2",".150",".400",".222","0.622","6","5",".142",".344",".218",,,,"87.3","31.4",38.1,"3",14.3,,,"25.2"
"O'Neill, Tyler","641933","2021","26","482","537","138","76","26","2","34","168","38",".286",".560",".352","0.912","80","89",".276",".579",".344",,,,"93","17.8",39.9,"57",17.9,"4","38","29.6"
"Palacios, Joshua","641943","2021","25","35","42","7","7","0","0","0","11","3",".200",".200",".293","0.493","4","7",".230",".333",".322",,,,"93.5","8.4",26.9,"1",3.8,,,"28.3"
"Rogers, Josh","642028","2021","26","12","14","0","0","0","0","0","4","1",".000",".000",".077","0.077","0","0",".131",".153",".198",,,,"72.8","-30.9",11.1,"0",0,,,
"Sisco, Chance","642082","2021","26","74","83","11","8","3","0","0","21","7",".149",".189",".241","0.430","4","5",".159",".224",".251",,,,"83.7","13.8",24.5,"1",1.9,,,"24.9"
"Smith, Dominic","642086","2021","26","446","493","109","78","20","0","11","112","32",".244",".363",".304","0.667","58","43",".262",".420",".323",,,,"89","14.9",40.6,"22",6.5,"-10",,"26.3"
"Smith, Riley","642092","2021","26","16","17","0","0","0","0","0","11","0",".000",".000",".000","0.000","0","0",".063",".077",".063",,,,"86.5","16.6",33.3,"0",0,,,
"Tellez, Rowdy","642133","2021","26","297","325","72","45","14","2","11","65","23",".242",".414",".305","0.719","36","34",".265",".471",".326",,,,"92.2","13.4",35.6,"27",11.6,,,"25.1"
"Valaika, Pat","642162","2021","28","259","281","52","39","8","0","5","76","16",".201",".290",".250","0.540","25","17",".213",".337",".264",,,,"86.8","19.8",40.6,"9",4.8,,,"27.0"
"VanMeter, Josh","642165","2021","26","274","310","58","33","17","2","6","83","33",".212",".354",".297","0.651","36","26",".203",".321",".289",,,,"89.3","19.6",30.1,"10",5.2,,,"26.8"
"Wade, Tyler","642180","2021","26","127","145","34","28","5","1","0","37","16",".268",".323",".354","0.677","5","31",".199",".247",".296",,,,"82.2","5.3",24.4,"1",1.1,"1","6","29.1"
"White, Eli","642201","2021","27","198","220","35","22","6","1","6","66","18",".177",".308",".259","0.567","15","26",".176",".291",".259",,,,"85.5","15.6",31.1,"9",6.8,"4","37","30.4"
"Widener, Taylor","642203","2021","26","16","18","1","1","0","0","0","11","1",".063",".063",".118","0.181","0","1",".041",".044",".098",,,,"77.4","-10",0,"0",0,,,"22.6"
"Williams, Justin","642211","2021","25","119","137","19","15","0","0","4","46","17",".160",".261",".270","0.531","11","10",".241",".406",".340",,,,"92.1","3.9",37,"8",11,"-1",,"27.0"
"Wong, Kean","642221","2021","26","60","66","10","7","2","1","0","17","2",".167",".233",".194","0.427","6","3",".217",".329",".242",,,,"82.3","5.7",38.3,"3",6.4,,,"27.8"
"Mejía, Francisco","642336","2021","25","250","277","65","41","15","3","6","49","17",".260",".416",".322","0.738","35","31",".230",".345",".296",,,,"85.7","14.9",34.8,"9",4.4,,,"27.0"
"Siri, Jose","642350","2021","25","46","49","14","9","0","1","4","17","1",".304",".609",".347","0.956","9","10",".262",".595",".307",,,,"89.9","16.5",44.8,"5",17.2,"-1","9","30.2"
"Sierra, Magneuris","642423","2021","25","209","225","48","41","6","1","0","50","15",".230",".268",".281","0.549","5","27",".227",".264",".279",,,,"82.3","7.7",26.3,"0",0,"2","20","28.8"
"Peralta, Freddy","642547","2021","25","43","45","4","4","0","0","0","22","1",".093",".093",".114","0.207","0","1",".132",".148",".152",,,,"82.3","-8.7",27.3,"0",0,,,"23.1"
"Rosario, Amed","642708","2021","25","550","588","155","113","25","6","11","120","31",".282",".409",".321","0.730","57","77",".267",".368",".310",,,,"88.8","5.5",32,"12",2.8,"-1","67","29.5"
"Adames, Willy","642715","2021","25","497","555","130","72","32","1","25","156","57",".262",".481",".337","0.818","73","77",".236",".438",".314",,,,"89.5","16.8",35.1,"39",11.4,,,"28.0"
"Gutiérrez, Kelvin","642721","2021","26","272","295","63","49","8","3","3","76","19",".232",".316",".292","0.608","20","23",".219",".305",".280",,,,"89.9","2.3",27.6,"7",3.6,,"12","28.2"
"Alcántara, Sergio","642727","2021","24","220","255","45","31","6","3","5","74","30",".205",".327",".303","0.630","17","30",".208",".298",".307",,,,"87.5","10.5",32.9,"5",3.4,,,"27.2"
"Estrada, Thairo","642731","2021","25","121","132","33","22","4","0","7","23","9",".273",".479",".333","0.812","22","19",".239",".421",".303",,,,"86.6","6.7",33.7,"7",7.1,,,"28.4"
"Leyba, Domingo","642736","2021","25","87","96","10","8","1","0","1","23","8",".115",".161",".198","0.359","4","6",".181",".254",".258",,,,"80.9","13.8",32.8,"3",4.7,,,"26.3"
"Wynns, Austin","642851","2021","30","130","139","24","16","4","0","4","31","8",".185",".308",".232","0.540","14","14",".201",".296",".247",,,,"83.6","10.7",24,"3",3,,,"25.1"
"Benintendi, Andrew","643217","2021","26","493","538","136","90","27","2","17","97","36",".276",".442",".324","0.766","73","63",".261",".456",".313",,,,"89.6","15.4",38.5,"36",8.9,"-1",,"27.6"
"Cooper, Garrett","643265","2021","30","215","250","61","41","10","1","9","68","30",".284",".465",".380","0.845","33","30",".269",".458",".368",,,,"91.1","8.2",36.5,"16",10.8,"-5",,"26.2"
"Craig, Will","643269","2021","26","60","65","13","10","2","0","1","22","5",".217",".300",".277","0.577","3","5",".181",".269",".244",,,,"79.9","2.8",28.9,"2",5.3,,,"26.0"
"Dubón, Mauricio","643289","2021","26","175","187","42","28","9","0","5","41","9",".240",".377",".278","0.655","22","20",".228",".361",".271",,,,"86.1","14.9",30.1,"6",4.4,"2",,"27.9"
"Jansen, Danny","643376","2021","26","184","205","41","17","13","0","11","44","17",".223",".473",".299","0.772","28","32",".241",".458",".316",,,,"90","20.5",34.8,"12",8.5,,,"27.7"
"Kemp, Tony","643393","2021","29","330","397","92","65","16","3","8","51","52",".279",".418",".382","0.800","37","54",".250",".349",".360",,,,"86.7","18.4",38.9,"3",1,"2",,"26.8"
"Kiner-Falefa, Isiah","643396","2021","26","635","677","172","136","25","3","8","90","28",".271",".357",".312","0.669","53","74",".267",".349",".309",,,,"85.5","5.4",31.6,"10",1.8,,,"28.0"
"Long Jr., Shed","643418","2021","25","111","121","22","13","4","1","4","39","9",".198",".360",".258","0.618","17","13",".203",".321",".263",,,,"87.6","1.7",24.7,"3",4.1,"-4",,"26.5"
"McNeil, Jeff","643446","2021","29","386","426","97","70","19","1","7","58","29",".251",".360",".319","0.679","35","48",".257",".387",".325",,,,"88.1","12",30.4,"14",4.3,"1",,"27.0"
"Schwindel, Frank","643524","2021","29","242","259","79","44","20","1","14","41","16",".326",".591",".371","0.962","43","44",".272",".454",".320",,,,"86.9","12.6",32.8,"16",8,,,"26.2"
"Tauchman, Mike","643565","2021","30","166","191","30","21","5","0","4","58","23",".181",".283",".284","0.567","15","22",".196",".304",".298",,,,"87.5","10",36.7,"6",5.5,"4","1","27.2"
"Chang, Yu","644374","2021","25","237","251","54","28","14","3","9","69","11",".228",".426",".267","0.693","39","32",".233",".378",".272",,,,"87.1","19.1",37.9,"12",7.1,,,"28.3"
"Tromp, Chadwick","644433","2021","26","18","18","4","3","0","0","1","4","0",".222",".389",".222","0.611","2","1",".181",".291",".181",,,,"85.3","16.4",28.6,"1",7.1,,,
"Alcantara, Sandy","645261","2021","25","58","64","2","1","1","0","0","45","3",".034",".052",".097","0.149","0","0",".044",".052",".107",,,,"77.6","-37.5",20,"0",0,,,"24.5"
"Albies, Ozzie","645277","2021","24","629","686","163","86","40","7","30","128","47",".259",".488",".310","0.798","106","103",".257",".461",".309",,,,"89.6","21.1",37,"47",9.3,,"21","28.4"
"Robles, Victor","645302","2021","24","315","369","64","40","21","1","2","85","33",".203",".295",".310","0.605","19","37",".216",".314",".320",,,,"84.1","19.9",31.9,"6",2.6,"2","20","28.3"
"Ford, Mike","645801","2021","28","60","72","8","5","0","0","3","23","11",".133",".283",".278","0.561","5","6",".180",".409",".317",,,,"90.9","15.6",35.1,"7",18.9,,,"23.1"
