"year","name","player_id","team_id","pa","pitches","runs_all","runs_heart","runs_shadow","runs_chase","runs_waste"
"2021","Rivera, Emmanuel","656896","118","98","370","-1","0","-7","4","1"
"2021","Rivero, Sebastián ","665861","118","44","164","-3","-3","-1","0","1"
"2021","Merrifield, Whit","593160","118","719","2608","-3","-9","-22","18","10"
"2021","Taylor, Michael A.","572191","118","528","2113","-14","-14","-23","14","10"
"2021","Lopez, Nicky","670032","118","565","2126","2","-14","-11","19","8"
"2021","Santana, Carlos","467793","118","656","2706","-10","-24","-27","27","13"
"2021","Benintendi, Andrew","643217","118","538","2044","7","-5","-6","10","9"
"2021","Isbel, Kyle","664728","118","83","321","0","-1","0","0","1"
"2021","O'Hearn, Ryan","656811","118","254","978","-11","-8","-10","3","5"
"2021","Perez, Salvador","521692","118","661","2392","24","19","-1","-5","10"
"2021","Alberto, Hanser","593643","118","255","834","-1","1","-7","1","4"
"2021","Olivares, Edward","658668","118","111","460","-5","-4","-5","2","2"
"2021","Gallagher, Cam","595956","118","124","433","-4","-2","-6","3","2"
"2021","Mondesi, Adalberto","609275","118","136","543","-5","-2","-6","1","2"
"2021","Dozier, Hunter","641531","118","543","2075","-20","-14","-26","10","10"
"2021","Turner, Justin","457759","119","650","2620","19","-4","-10","19","15"
"2021","Lux, Gavin","666158","119","396","1528","1","-5","-14","10","9"
"2021","Bauer, Trevor","545333","119","34","136","-7","-5","-3","0","0"
"2021","Buehler, Walker","621111","119","88","371","-11","-6","-7","1","1"
"2021","McKinney, Billy","641856","119","299","1283","-14","-11","-20","12","5"
"2021","Muncy, Max","571970","119","587","2434","39","11","-14","27","15"
"2021","Smith, Will","669257","119","547","2251","14","-14","-16","28","16"
"2021","Bellinger, Cody","641355","119","386","1578","-18","-14","-26","15","6"
"2021","McKinstry, Zach","656716","119","171","709","2","6","-12","4","3"
"2021","Raley, Luke","670042","119","72","275","-9","-6","-6","1","1"
"2021","Seager, Corey","608369","119","459","1587","29","8","-4","15","10"
"2021","Neuse, Sheldon","641914","119","66","260","-9","-6","-3","0","0"
"2021","Pollock, AJ","572041","119","453","1589","27","12","-2","9","9"
"2021","Souza Jr., Steven","519306","119","45","183","-4","-2","-4","1","1"
"2021","Ríos, Edwin","621458","119","60","235","-10","-7","-7","2","3"
