"name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","r_total_caught_stealing","r_total_stolen_base","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","hp_to_1b","sprint_speed",""
"deGrom, Jacob","594798","2021","33","33","33","12","11","1","0","0","9","0",27.3,0,".364",".394",".364","0.758","6","0","0","84.7",41.7,0,,"28.3",
"Duvall, Adam","594807","2021","32","513","555","117","60","17","2","38","174","35",31.4,6.3,".228",".491",".281","0.772","113","0","5","89.8",33.3,16.1,"4.42","28.6",
"Eaton, Adam","594809","2021","32","254","288","51","33","10","2","6","71","22",24.7,7.6,".201",".327",".282","0.609","30","0","3","86.6",29.3,4.3,"4.25","28.0",
"Gosselin, Phil","594838","2021","32","345","373","90","69","14","0","7","81","24",21.7,6.4,".261",".362",".314","0.676","47","2","4","87.6",30.2,3.4,"4.27","29.2",
"Schebler, Scott","594988","2021","30","34","34","5","2","3","0","0","17","0",50,0,".147",".235",".147","0.382","0","0","0","83.9",52.9,5.9,,"27.3",
"Kiermaier, Kevin","595281","2021","31","348","390","90","60","19","7","4","99","33",25.4,8.5,".259",".388",".328","0.716","37","5","9","86.6",29.6,4,"4.11","29.2",
"Knapp, Andrew","595284","2021","29","145","159","22","17","3","0","2","61","10",38.4,6.3,".152",".214",".215","0.429","11","0","0","86.2",27.9,3.5,,"27.4",
"Wallach, Chad","595453","2021","29","60","66","12","9","2","1","0","32","3",48.5,4.5,".200",".267",".242","0.509","6","0","0","84.9",33.3,3.3,,"24.1",
"Alfaro, Jorge","595751","2021","28","295","311","72","52","15","1","4","99","11",31.8,3.5,".244",".342",".283","0.625","30","1","8","90.9",27.6,8.2,"4.45","28.4",
"Profar, Jurickson","595777","2021","28","353","412","80","57","17","2","4","65","49",15.8,11.9,".227",".320",".329","0.649","33","5","10","85.3",30.6,2.7,"4.51","26.3",
"Baez, Javier","595879","2021","28","502","547","133","82","18","2","31","184","28",33.6,5.1,".265",".494",".319","0.813","87","5","18","90.1",32.7,13.4,"4.31","28.5",
"Cave, Jake","595909","2021","28","164","178","31","21","6","1","3","62","10",34.8,5.6,".189",".293",".249","0.542","13","1","1","87",38.8,5.8,"4.42","27.9",
"Evans, Phillip","595943","2021","28","214","247","44","34","5","0","5","53","28",21.5,11.3,".206",".299",".312","0.611","16","0","1","88.4",25.5,4.3,"4.46","27.6",
"Gallagher, Cam","595956","2021","28","112","124","28","21","6","0","1","20","8",16.1,6.5,".250",".330",".298","0.628","7","0","0","85.9",35.8,0,"4.86","24.7",
"Hedges, Austin","595978","2021","28","286","312","51","34","7","0","10","87","15",27.9,4.8,".178",".308",".220","0.528","31","0","1","85.8",28.2,3.8,"4.97","24.5",
"Heineman, Scott","595981","2021","28","30","34","3","1","0","0","2","15","3",44.1,8.8,".100",".300",".206","0.506","3","0","0","82.8",26.7,13.3,,"28.5",
"Lindor, Francisco","596019","2021","27","452","524","104","65","16","3","20","96","58",18.3,11.1,".230",".412",".322","0.734","63","4","10","90.7",35.6,8.2,"4.37","27.8",
"Nogowski Jr., John","596056","2021","28","129","143","30","22","7","0","1","22","12",15.4,8.4,".233",".310",".301","0.611","14","1","0","88.1",38,0,"4.75","25.1",
"Odor, Rougned","596059","2021","27","322","361","65","38","12","0","15","100","27",27.7,7.5,".202",".379",".286","0.665","39","1","0","89.1",29.6,9,"4.47","26.7",
"Slater, Austin","596103","2021","28","274","306","66","41","12","1","12","84","28",27.5,9.2,".241",".423",".320","0.743","32","2","15","87.1",37.4,9.5,"4.39","28.5",
"Story, Trevor","596115","2021","28","526","595","132","69","34","5","24","139","53",23.4,8.9,".251",".471",".329","0.800","75","6","20","90.6",34.2,9.9,"4.31","28.7",
"Stubbs, Garrett","596117","2021","28","34","38","6","4","2","0","0","7","2",18.4,5.3,".176",".235",".222","0.457","3","0","0","84.8",13.8,0,,"28.2",
"Vogelbach, Daniel","596129","2021","28","215","258","47","30","8","0","9","57","43",22.1,16.7,".219",".381",".349","0.730","24","0","0","91.4",33.5,8.2,"4.82","24.3",
"Weaver, Luke","596133","2021","27","19","22","2","2","0","0","0","12","1",54.5,4.5,".105",".105",".150","0.255","1","0","0","85.8",33.3,0,,,
"Sanchez, Gary","596142","2021","28","383","440","78","41","13","1","23","121","52",27.5,11.8,".204",".423",".307","0.730","54","0","0","89.5",34.4,13.7,"4.74","25.3",
"Kepler, Max","596146","2021","28","426","490","90","46","21","4","19","96","54",19.6,11,".211",".413",".306","0.719","54","0","10","89.8",35.3,10.8,"4.36","27.4",
"Gomber, Austin","596295","2021","27","32","42","3","3","0","0","0","13","1",31,2.4,".094",".094",".121","0.215","1","0","0","84.1",21.4,0,,"23.5",
"Quinn, Roman","596451","2021","28","52","62","9","5","2","2","0","19","6",30.6,9.7,".173",".288",".306","0.594","2","3","4","86.4",33.3,3,,"30.0",
"Franco, Maikel","596748","2021","28","377","403","79","46","22","0","11","67","20",16.6,5,".210",".355",".253","0.608","47","0","0","88.2",28.1,5.1,"4.84","25.0",
"Garcia, Robel","596825","2021","28","106","117","16","12","3","0","1","42","8",35.9,6.8,".151",".208",".216","0.424","8","0","0","86.5",19.7,1.5,"4.37","27.1",
