"name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","r_total_caught_stealing","r_total_stolen_base","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","hp_to_1b","sprint_speed",""
"Nido, Tomas","621512","2021","27","153","161","34","25","5","1","3","44","5",27.3,3.1,".222",".327",".261","0.588","13","0","1","88.7",42.2,6.4,"4.8","25.6",
"Bemboom, Anthony","621532","2021","31","27","28","6","6","0","0","0","10","1",35.7,3.6,".222",".222",".250","0.472","2","0","0","83.1",29.4,0,,"26.8",
"Wisdom, Patrick","621550","2021","29","338","375","78","37","13","0","28","153","32",40.8,8.5,".231",".518",".305","0.823","61","1","4","91.2",39.5,16.2,"4.42","28.1",
"Moroff, Max","621559","2021","28","16","16","1","1","0","0","0","10","0",62.5,0,".063",".063",".063","0.126","1","0","0","86.1",33.3,16.7,,,
"Wendle, Joey","621563","2021","31","460","501","122","76","31","4","11","113","28",22.6,5.6,".265",".422",".319","0.741","54","6","8","87.9",30.6,4.6,"4.31","27.9",
"Olson, Matt","621566","2021","27","565","673","153","79","35","0","39","113","88",16.8,13.1,".271",".540",".371","0.911","111","1","4","91.6",32.4,12.7,"4.65","25.9",
"Dean, Austin","621573","2021","27","30","38","7","4","2","0","1","11","6",28.9,15.8,".233",".400",".342","0.742","7","0","0","87.4",33.3,4.8,,"27.5",
"Wood, Alex","622072","2021","30","38","47","0","0","0","0","0","26","5",55.3,10.6,".000",".000",".116","0.116","0","1","0","85.7",12.5,0,,"22.5",
"Jones, Taylor","622100","2021","27","102","108","25","14","8","1","2","29","4",26.9,3.7,".245",".402",".269","0.671","16","0","0","90.6",32,6.7,"4.76","26.3",
"Duffy, Matt","622110","2021","30","289","322","83","66","12","0","5","63","25",19.6,7.8,".287",".381",".357","0.738","30","1","8","87.5",40.5,4,"4.66","26.4",
"Munoz, Yairo","622168","2021","26","11","11","1","1","0","0","0","2","0",18.2,0,".091",".091",".091","0.182","0","0","0","85.1",33.3,0,,,
"Walton, Donovan","622268","2021","27","63","69","13","8","2","1","2","15","4",21.7,5.8,".206",".365",".254","0.619","7","0","1","88",34,8,,"27.0",
"Castillo, Luis","622491","2021","28","49","59","8","6","2","0","0","23","1",39,1.7,".163",".204",".180","0.384","2","0","0","84",14.3,2.9,,"25.0",
"Crismatt, Nabil","622503","2021","26","10","11","0","0","0","0","0","6","0",54.5,0,".000",".000",".000","0.000","0","0","0","68.5",0,0,,,
"Margot, Manuel","622534","2021","26","421","464","107","76","18","3","10","70","37",15.1,8,".254",".382",".313","0.695","57","8","13","87.9",31.5,5.1,"4.27","28.6",
"Reyes, Pablo","622569","2021","27","78","87","20","14","5","0","1","15","9",17.2,10.3,".256",".359",".333","0.692","3","0","4","87.1",28.6,3.2,"4.5","27.7",
"Senzatela, Antonio","622608","2021","26","39","51","2","2","0","0","0","19","0",37.3,0,".051",".051",".051","0.102","1","0","0","79.8",12.5,0,,"22.8",
"Camargo, Johan","622666","2021","27","16","18","0","0","0","0","0","6","2",33.3,11.1,".000",".000",".111","0.111","0","0","0","82",10,0,,"23.1",
"Reyes, Victor","622682","2021","26","209","220","54","35","10","4","5","55","8",25,3.6,".258",".416",".284","0.700","22","1","5","89.5",37.6,8.3,"4.35","28.8",
"Hernandez, Elieser","622694","2021","26","14","18","1","1","0","0","0","7","0",38.9,0,".071",".071",".071","0.142","0","0","0","86.3",27.3,0,,,
"Mateo, Jorge","622761","2021","26","194","209","48","32","11","1","4","55","9",26.3,4.3,".247",".376",".293","0.669","14","3","10","85.4",33.3,5.7,"4.12","30.4",
"Velazquez, Andrew","623205","2021","26","67","68","15","9","4","1","1","23","1",33.8,1.5,".224",".358",".235","0.593","6","1","4","90.2",45.5,13.6,,"29.3",
"Giambrone, Trent","623508","2021","27","13","13","2","2","0","0","0","4","0",30.8,0,".154",".154",".154","0.308","0","0","0","86",0,0,,"28.0",
"Bote, David","623520","2021","28","291","327","58","38","10","2","8","73","27",22.3,8.3,".199",".330",".276","0.606","35","1","0","89.9",27.5,9.9,"4.47","27.2",
"Ramirez, Harold","623912","2021","26","339","361","91","62","21","1","7","56","14",15.5,3.9,".268",".398",".305","0.703","41","1","3","91.3",24.5,6.3,"4.33","28.6",
"Santander, Anthony","623993","2021","26","406","438","98","56","24","0","18","101","23",23.1,5.3,".241",".433",".286","0.719","50","1","1","90.7",34.5,8.4,"4.69","26.1",
"Suarez, Ranger","624133","2021","25","16","23","3","1","2","0","0","5","1",21.7,4.3,".188",".313",".278","0.591","1","0","0","83.9",25,0,,"22.5",
"Alonso, Pete","624413","2021","26","561","637","147","80","27","3","37","127","60",19.9,9.4,".262",".519",".344","0.863","94","0","3","91",34.5,14.8,"4.59","26.0",
"Arroyo, Christian","624414","2021","26","164","181","43","25","12","0","6","44","8",24.3,4.4,".262",".445",".324","0.769","25","0","1","86.3",35.5,7.4,"4.44","27.9",
"Biggio, Cavan","624415","2021","26","250","294","56","38","10","1","7","78","37",26.5,12.6,".224",".356",".322","0.678","27","1","3","88.9",32.8,5.6,"4.41","28.3",
"Conforto, Michael","624424","2021","28","406","479","94","60","20","0","14","104","59",21.7,12.3,".232",".384",".344","0.728","55","0","1","88.5",32.9,9.2,"4.52","27.0",
"Frazier, Adam","624428","2021","29","577","639","176","130","36","5","5","69","48",10.8,7.5,".305",".411",".368","0.779","43","5","10","85.4",38.9,1,"4.42","27.1",
"Trevino, Jose","624431","2021","28","285","302","68","49","14","0","5","57","12",18.9,4,".239",".340",".267","0.607","30","1","1","87.5",33.5,4.3,"4.86","24.5",
"Gordon, Nick","624503","2021","25","200","216","48","34","9","1","4","55","12",25.5,5.6,".240",".355",".292","0.647","23","1","10","91.2",35.6,6.8,"4.43","27.9",
"McGuire, Reese","624512","2021","26","198","217","50","34","15","0","1","44","15",20.3,6.9,".253",".343",".310","0.653","10","0","0","87.5",39.7,2.6,"4.54","26.3",
"Nunez, Dom","624513","2021","26","228","263","43","18","12","3","10","91","34",34.6,12.9,".189",".399",".293","0.692","33","0","0","86",39.1,9.4,"4.7","25.3",
"Soler, Jorge","624585","2021","29","516","602","115","61","27","0","27","142","67",23.6,11.1,".223",".432",".316","0.748","70","0","0","91.2",30.9,12.7,"4.68","26.9",
"Sosa, Edmundo","624641","2021","25","288","326","78","60","8","4","6","63","17",19.3,5.2,".271",".389",".346","0.735","27","4","4","86.7",28.9,3.9,"4.3","29.7",
"Heredia, Guillermo","628338","2021","30","305","347","67","36","26","0","5","81","32",23.3,9.2,".220",".354",".311","0.665","26","0","0","86.6",35.6,4,"4.36","27.8",
"Hernandez, Yadiel","628450","2021","33","264","289","72","54","8","1","9","59","22",20.4,7.6,".273",".413",".329","0.742","32","0","3","89.7",31.4,5.8,"4.64","25.3",
"Ibanez, Andy","628451","2021","28","253","272","70","46","15","2","7","35","15",12.9,5.5,".277",".435",".321","0.756","25","0","0","88.8",35.5,7.3,"4.33","28.0",
"Urias, Julio","628711","2021","24","59","70","12","10","2","0","0","22","0",31.4,0,".203",".237",".217","0.454","9","0","0","86.8",23.4,2.1,,"22.3",
"Cronenworth, Jake","630105","2021","27","567","643","151","90","33","7","21","90","55",14,8.6,".266",".460",".340","0.800","71","3","4","88.6",35.8,7.2,"4.26","28.5",
"Crowe, Wil","640444","2021","26","35","41","2","1","1","0","0","14","1",34.1,2.4,".057",".086",".108","0.194","0","0","0","84.7",24,4,,"22.3",
"Frazier, Clint","640449","2021","26","183","218","34","20","9","0","5","65","32",29.8,14.7,".186",".317",".317","0.634","15","0","2","86.9",28.8,10.2,"4.62","27.1",
"Meadows, Austin","640457","2021","26","518","591","121","62","29","3","27","122","59",20.6,10,".234",".458",".315","0.773","106","3","4","89.3",36.1,8.7,"4.4","27.5",
"Mercado, Oscar","640458","2021","26","214","238","48","30","11","1","6","42","21",17.6,8.8,".224",".369",".300","0.669","19","1","7","86.2",24.9,4,"4.37","28.9",
"Pinder, Chad","640461","2021","29","214","233","52","29","16","1","6","62","16",26.6,6.9,".243",".411",".300","0.711","27","0","1","92.6",36.6,16.3,"4.59","26.6",
"Alzolay, Adbert","640470","2021","26","31","33","2","1","1","0","0","13","1",39.4,3,".065",".097",".094","0.191","0","0","0","82",5.3,0,,"23.9",
"Lopez, Pablo","641154","2021","25","33","35","2","0","2","0","0","17","0",48.6,0,".061",".121",".061","0.182","0","0","0","79.6",27.8,5.6,,"24.3",
"Anderson, Tim","641313","2021","28","527","551","163","115","29","2","17","119","22",21.6,4,".309",".469",".338","0.807","61","7","18","89.6",32.5,7.8,"4.32","28.0",
"Bauers, Jake","641343","2021","25","282","315","59","48","7","0","4","78","30",24.8,9.5,".209",".277",".290","0.567","19","1","6","88.1",36.3,5.4,"4.42","27.4",
"Bellinger, Cody","641355","2021","25","315","350","52","31","9","2","10","94","31",26.9,8.9,".165",".302",".240","0.542","36","1","3","89.3",33.5,7.1,"4.24","28.1",
"Calhoun, Willie","641432","2021","26","260","284","65","46","10","3","6","34","21",12,7.4,".250",".381",".310","0.691","25","2","0","90.2",28.6,3.5,"4.63","26.1",
"Collins, Zack","641470","2021","26","195","231","41","24","13","0","4","69","34",29.9,14.7,".210",".338",".330","0.668","26","1","1","91.1",40.9,10.2,"4.71","25.1",
"Crawford, J.P.","641487","2021","26","619","687","169","123","37","0","9","114","58",16.6,8.4,".273",".376",".338","0.714","54","6","3","86.3",34.3,2.4,"4.41","27.5",
"Davis, Jonathan","641505","2021","29","87","103","11","9","1","0","1","26","12",25.2,11.7,".126",".172",".252","0.424","4","1","4","85.1",25.8,6.5,"4.34","28.8",
"Dozier, Hunter","641531","2021","29","487","543","105","56","27","6","16","154","43",28.4,7.9,".216",".394",".285","0.679","54","4","5","89.9",33,8.8,"4.44","28.2",
"Engel, Adam","641553","2021","29","123","140","31","15","9","0","7","31","11",22.1,7.9,".252",".496",".336","0.832","18","1","7","86.8",38.7,8.6,"4.16","29.7",
"Fargas, Johneshwy","641561","2021","26","52","54","13","8","3","2","0","15","1",27.8,1.9,".250",".385",".264","0.649","5","2","1","83.1",34.2,0,"4.47","28.3",
"Fowler, Dustin","641583","2021","26","41","46","7","6","1","0","0","20","3",43.5,6.5,".171",".195",".239","0.434","2","0","1","89.5",27.3,0,,"28.2",
"Fraley, Jake","641584","2021","26","214","265","45","29","7","0","9","71","46",26.8,17.4,".210",".369",".352","0.721","36","2","10","85.3",38.4,6.2,"4.3","27.7",
"Garver, Mitch","641598","2021","30","207","243","53","25","15","0","13","71","31",29.2,12.8,".256",".517",".358","0.875","34","1","1","92.3",38.4,17.4,"4.69","25.6",
"Guillorme, Luis","641645","2021","26","132","156","35","31","3","0","1","23","23",14.7,14.7,".265",".311",".374","0.685","5","2","0","86.4",34.5,0.9,"4.47","25.9",
"Hampson, Garrett","641658","2021","26","453","494","106","68","21","6","11","118","33",23.9,6.7,".234",".380",".289","0.669","33","7","17","87",34.7,5,"4.18","29.9",
"Heim, Jonah","641680","2021","26","265","285","52","29","13","0","10","58","15",20.4,5.3,".196",".358",".239","0.597","32","1","3","87.1",34.6,6.2,"4.73","26.0",
"Hermosillo, Michael","641684","2021","26","36","38","7","2","2","0","3","12","1",31.6,2.6,".194",".500",".237","0.737","7","0","0","89.3",29.2,20.8,,"28.2",
"Kuhl, Chad","641771","2021","28","21","24","1","1","0","0","0","11","1",45.8,4.2,".048",".048",".091","0.139","0","0","0","84.5",8.3,0,,"22.1",
"Lauer, Eric","641778","2021","26","26","37","4","3","0","0","1","15","3",40.5,8.1,".154",".269",".258","0.527","4","0","0","91.3",11.1,5.6,,,
"Lewis, Kyle","641786","2021","25","130","147","32","23","4","0","5","37","16",25.2,10.9,".246",".392",".333","0.725","11","0","2","89.7",45.2,14,"4.46","27.7",
"Locastro, Tim","641796","2021","28","139","156","25","19","4","0","2","33","7",21.2,4.5,".180",".252",".263","0.515","7","3","5","82.1",32.7,0.9,"4.07","30.7",
"Mahle, Tyler","641816","2021","26","55","66","3","3","0","0","0","19","4",28.8,6.1,".055",".055",".119","0.174","1","0","0","84.9",16.3,2.3,"4.68","25.8",
"Mancini III, Trey","641820","2021","29","556","616","142","87","33","1","21","143","51",23.2,8.3,".255",".432",".326","0.758","71","0","0","88.9",36,10.4,"4.65","26.6",
"Martin, Jason","641829","2021","25","144","154","30","21","3","0","6","41","8",26.6,5.2,".208",".354",".248","0.602","17","1","3","87.5",33.3,7.6,"4.38","27.5",
"McKinney, Billy","641856","2021","26","265","300","51","28","11","3","9","79","32",26.3,10.7,".192",".358",".280","0.638","27","0","2","88.1",30.9,6.4,"4.36","27.6",
"McMahon, Ryan","641857","2021","26","528","596","134","78","32","1","23","147","59",24.7,9.9,".254",".449",".331","0.780","86","2","6","90.5",40.2,7.3,"4.58","26.2",
"Neuse, Sheldon","641914","2021","26","65","66","11","7","1","0","3","26","1",39.4,1.5,".169",".323",".182","0.505","4","1","1","88.8",30.8,12.8,,"27.0",
"Nottingham, Jacob","641924","2021","26","40","45","6","2","1","0","3","20","2",44.4,4.4,".150",".400",".222","0.622","6","0","0","87.3",38.1,14.3,,"25.2",
"O'Neill, Tyler","641933","2021","26","482","537","138","76","26","2","34","168","38",31.3,7.1,".286",".560",".352","0.912","80","4","15","93",39.9,17.9,"4.23","29.7",
"Palacios, Joshua","641943","2021","25","35","42","7","7","0","0","0","11","3",26.2,7.1,".200",".200",".293","0.493","4","0","0","93.5",26.9,3.8,,"28.3",
"Rogers, Josh","642028","2021","26","12","14","0","0","0","0","0","4","1",28.6,7.1,".000",".000",".077","0.077","0","0","0","72.8",11.1,0,,,
"Sisco, Chance","642082","2021","26","74","83","11","8","3","0","0","21","7",25.3,8.4,".149",".189",".241","0.430","4","0","0","83.7",24.5,1.9,,"24.9",
"Smith, Dominic","642086","2021","26","446","493","109","78","20","0","11","112","32",22.7,6.5,".244",".363",".304","0.667","58","1","2","89",40.3,6.5,"4.47","26.2",
"Smith, Riley","642092","2021","26","16","17","0","0","0","0","0","11","0",64.7,0,".000",".000",".000","0.000","0","0","0","86.5",33.3,0,,,
"Tellez, Rowdy","642133","2021","26","297","325","72","45","14","2","11","65","23",20,7.1,".242",".414",".305","0.719","36","0","0","92.2",35.6,11.6,"4.77","25.1",
"Valaika, Pat","642162","2021","28","259","281","52","39","8","0","5","76","16",27,5.7,".201",".290",".250","0.540","25","1","1","86.8",40.6,4.8,"4.51","27.0",
"VanMeter, Josh","642165","2021","26","274","310","58","33","17","2","6","83","33",26.8,10.6,".212",".354",".297","0.651","36","2","3","89.3",30.1,5.2,"4.43","26.9",
"Wade, Tyler","642180","2021","26","127","145","34","28","5","1","0","37","16",25.5,11,".268",".323",".354","0.677","5","6","17","82.2",24.4,1.1,"4.14","29.1",
"White, Eli","642201","2021","27","198","220","35","22","6","1","6","66","18",30,8.2,".177",".308",".259","0.567","15","3","4","85.5",31.1,6.8,"4.16","30.5",
"Widener, Taylor","642203","2021","26","16","18","1","1","0","0","0","11","1",61.1,5.6,".063",".063",".118","0.181","0","0","0","77.4",0,0,,"22.6",
"Williams, Justin","642211","2021","25","119","137","19","15","0","0","4","46","17",33.6,12.4,".160",".261",".270","0.531","11","1","0","92.1",37,11,"4.69","27.0",
"Wong, Kean","642221","2021","26","60","66","10","7","2","1","0","17","2",25.8,3,".167",".233",".194","0.427","6","1","0","82.3",38.3,6.4,"4.38","27.6",
"Mejia, Francisco","642336","2021","25","250","277","65","41","15","3","6","49","17",17.7,6.1,".260",".416",".322","0.738","35","0","0","85.7",34.8,4.4,"4.37","27.0",
"Siri, Jose","642350","2021","25","46","49","14","9","0","1","4","17","1",34.7,2,".304",".609",".347","0.956","9","1","3","89.9",44.8,17.2,"4.07","30.4",
"Sierra, Magneuris","642423","2021","25","209","225","48","41","6","1","0","50","15",22.2,6.7,".230",".268",".281","0.549","5","0","11","82.3",26.3,0,"4.04","28.9",
"Peralta, Freddy","642547","2021","25","43","45","4","4","0","0","0","22","1",48.9,2.2,".093",".093",".114","0.207","0","0","0","82.3",27.3,0,,"23.1",
"Rosario, Amed","642708","2021","25","550","588","155","113","25","6","11","120","31",20.4,5.3,".282",".409",".321","0.730","57","0","13","88.8",32,2.8,"4.2","29.5",
"Adames, Willy","642715","2021","25","497","555","130","72","32","1","25","156","57",28.1,10.3,".262",".481",".337","0.818","73","4","5","89.5",35.1,11.4,"4.4","28.0",
"Gutierrez, Kelvin","642721","2021","26","272","295","63","49","8","3","3","76","19",25.8,6.4,".232",".316",".292","0.608","20","1","0","89.9",27.6,3.6,"4.37","28.3",
"Alcantara, Sergio","642727","2021","24","220","255","45","31","6","3","5","74","30",29,11.8,".205",".327",".303","0.630","17","0","3","87.5",32.9,3.4,"4.54","27.2",
"Estrada, Thairo","642731","2021","25","121","132","33","22","4","0","7","23","9",17.4,6.8,".273",".479",".333","0.812","22","0","1","86.6",33.7,7.1,"4.31","28.5",
"Leyba, Domingo","642736","2021","25","87","96","10","8","1","0","1","23","8",24,8.3,".115",".161",".198","0.359","4","0","0","80.9",32.8,4.7,,"26.4",
"Wynns, Austin","642851","2021","30","130","139","24","16","4","0","4","31","8",22.3,5.8,".185",".308",".232","0.540","14","0","1","83.6",24,3,"4.89","25.1",
"Benintendi, Andrew","643217","2021","26","493","538","136","90","27","2","17","97","36",18,6.7,".276",".442",".324","0.766","73","9","8","89.6",38.5,8.9,"4.39","27.6",
"Cooper, Garrett","643265","2021","30","215","250","61","41","10","1","9","68","30",27.2,12,".284",".465",".380","0.845","33","1","1","91.1",36.5,10.8,"4.63","26.1",
"Craig, Will","643269","2021","26","60","65","13","10","2","0","1","22","5",33.8,7.7,".217",".300",".277","0.577","3","0","0","79.9",28.9,5.3,"4.75","26.0",
"Dubon, Mauricio","643289","2021","26","175","187","42","28","9","0","5","41","9",21.9,4.8,".240",".377",".278","0.655","22","1","2","86.1",30.1,4.4,"4.35","27.9",
"Jansen, Danny","643376","2021","26","184","205","41","17","13","0","11","44","17",21.5,8.3,".223",".473",".299","0.772","28","0","0","90",34.8,8.5,"4.48","27.6",
"Kemp, Tony","643393","2021","29","330","397","92","65","16","3","8","51","52",12.8,13.1,".279",".418",".382","0.800","37","2","8","86.7",38.9,1,"4.42","26.6",
"Kiner-Falefa, Isiah","643396","2021","26","635","677","172","136","25","3","8","90","28",13.3,4.1,".271",".357",".312","0.669","53","5","20","85.5",31.6,1.8,"4.3","28.0",
"Long Jr., Shed","643418","2021","25","111","121","22","13","4","1","4","39","9",32.2,7.4,".198",".360",".258","0.618","17","0","1","87.6",24.7,4.1,"4.43","26.5",
"McNeil, Jeff","643446","2021","29","386","426","97","70","19","1","7","58","29",13.6,6.8,".251",".360",".319","0.679","35","0","3","88.1",30.4,4.3,"4.16","27.0",
"Schwindel, Frank","643524","2021","29","242","259","79","44","20","1","14","41","16",15.8,6.2,".326",".591",".371","0.962","43","1","2","86.9",32.8,8,"4.54","26.2",
"Tauchman, Mike","643565","2021","30","166","191","30","21","5","0","4","58","23",30.4,12,".181",".283",".284","0.567","15","3","3","87.5",36.7,5.5,"4.34","27.3",
"Chang, Yu","644374","2021","25","237","251","54","28","14","3","9","69","11",27.5,4.4,".228",".426",".267","0.693","39","0","1","87.1",37.9,7.1,"4.53","28.3",
"Tromp, Chadwick","644433","2021","26","18","18","4","3","0","0","1","4","0",22.2,0,".222",".389",".222","0.611","2","0","0","85.3",28.6,7.1,,,
"Alcantara, Sandy","645261","2021","25","58","64","2","1","1","0","0","45","3",70.3,4.7,".034",".052",".097","0.149","0","0","0","77.6",20,0,,"24.5",
"Albies, Ozzie","645277","2021","24","629","686","163","86","40","7","30","128","47",18.7,6.9,".259",".488",".310","0.798","106","4","20","89.6",37,9.3,"4.11","28.4",
"Robles, Victor","645302","2021","24","315","369","64","40","21","1","2","85","33",23,8.9,".203",".295",".310","0.605","19","6","8","84.1",31.9,2.6,"4.42","28.3",
"Ford, Mike","645801","2021","28","60","72","8","5","0","0","3","23","11",31.9,15.3,".133",".283",".278","0.561","5","0","0","90.9",35.1,18.9,,"23.1",
"Devers, Rafael","646240","2021","24","591","664","165","89","37","1","38","143","62",21.5,9.3,".279",".538",".352","0.890","113","5","5","92.9",35.2,15,"4.38","26.9",
"Naylor, Josh","647304","2021","24","233","250","59","39","13","0","7","45","14",18,5.6,".253",".399",".301","0.700","21","0","1","89.8",31.4,7.4,"4.6","26.2",
"Toro, Abraham","647351","2021","24","335","375","80","57","12","0","11","54","31",14.4,8.3,".239",".373",".315","0.688","46","3","6","86.8",29.7,7.4,"4.3","28.1",
"Diaz, Aledmys","649557","2021","30","294","319","76","49","19","0","8","62","16",19.4,5,".259",".405",".317","0.722","45","1","0","88.7",34.1,6.5,"4.37","27.1",
"Urias, Luis","649966","2021","24","490","570","122","73","25","1","23","116","63",20.4,11.1,".249",".445",".345","0.790","75","1","5","87.9",34.9,9.3,"4.63","26.5",
"Diaz, Lewin","650331","2021","24","122","128","25","12","4","1","8","33","6",25.8,4.7,".205",".451",".242","0.693","13","0","0","88.3",34.8,10.1,,"25.4",
"Arraez, Luis","650333","2021","24","428","479","126","101","17","6","2","48","43",10,9,".294",".376",".357","0.733","42","2","2","88.4",41.5,2.3,"4.43","26.8",
"Jimenez, Eloy","650391","2021","24","213","231","53","33","10","0","10","57","16",24.7,6.9,".249",".437",".303","0.740","37","0","0","90.5",29.9,10.8,"4.46","27.5",
"Torres, Gleyber","650402","2021","24","459","516","119","88","22","0","9","104","50",20.2,9.7,".259",".366",".331","0.697","51","6","14","87.1",37.1,7.8,"4.51","27.0",
"Castro, Willi","650489","2021","24","413","450","91","61","15","6","9","109","23",24.2,5.1,".220",".351",".273","0.624","38","4","9","85.6",35.2,5.2,"4.24","28.7",
"Diaz, Yandy","650490","2021","29","465","541","119","85","20","1","13","85","69",15.7,12.8,".256",".387",".353","0.740","64","1","1","89.9",28.9,7,"4.59","26.5",
"De La Cruz, Bryan","650559","2021","24","199","219","59","45","7","2","5","53","18",24.2,8.2,".296",".427",".356","0.783","19","1","1","88.4",35.4,5.4,"4.49","28.2",
"Rengifo, Luis","650859","2021","24","174","190","35","28","1","0","6","38","9",20,4.7,".201",".310",".246","0.556","18","0","1","85.8",29.8,6.4,"4.26","28.1",
"Pozo, Yohel","650968","2021","24","74","77","21","16","4","0","1","10","3",13,3.9,".284",".378",".312","0.690","9","0","0","87.7",35.9,3.1,"4.84","25.1",
"Adams, Riley","656180","2021","25","99","120","22","11","8","1","2","40","15",33.3,12.5,".222",".384",".358","0.742","10","0","0","88.4",44.1,13.6,"4.65","26.3",
"Allen, Greg","656185","2021","28","37","48","10","5","4","1","0","13","5",27.1,10.4,".270",".432",".417","0.849","2","0","5","86.3",48,8,,"27.9",
"Bradley, Bobby","656252","2021","25","245","279","51","25","10","0","16","99","25",35.5,9,".208",".445",".294","0.739","41","0","0","89",37.6,16.8,"4.48","27.0",
"Chapman, Matt","656305","2021","28","529","622","111","66","15","3","27","202","80",32.5,12.9,".210",".403",".314","0.717","72","2","3","89.7",32.1,13.7,"4.44","28.1",
"Chavis, Michael","656308","2021","25","121","124","30","19","7","1","3","42","1",33.9,0.8,".248",".397",".258","0.655","11","2","1","89.7",37.5,5,"4.38","28.7",
"Deichmann, Greg","656364","2021","26","30","31","4","4","0","0","0","14","1",45.2,3.2,".133",".133",".161","0.294","1","0","0","82.4",37.5,0,,,
"Diaz, Isan","656371","2021","25","238","278","46","33","9","0","4","73","34",26.3,12.2,".193",".282",".293","0.575","17","1","1","88.7",27.6,4.1,"4.7","25.8",
"Ellis, Drew","656403","2021","25","69","83","9","6","2","0","1","27","10",32.5,12,".130",".203",".277","0.480","5","0","0","81.8",26.2,2.4,,"27.0",
"Fairchild, Stuart","656413","2021","25","15","17","2","1","1","0","0","3","1",17.6,5.9,".133",".200",".235","0.435","2","0","0","81.3",33.3,0,,,
"Flaherty, Jack","656427","2021","25","17","26","2","1","0","0","1","7","5",26.9,19.2,".118",".294",".304","0.598","3","0","0","86.4",50,7.1,,,
"Gilbert, Tyler","656457","2021","27","9","11","0","0","0","0","0","6","0",54.5,0,".000",".000",".000","0.000","0","0","0","64.9",0,0,,,
"Gittens, Chris","656467","2021","27","36","44","4","3","0","0","1","13","7",29.5,15.9,".111",".194",".250","0.444","5","0","0","86.3",16.7,8.3,,"25.3",
"Harrison, Monte","656509","2021","25","10","11","2","1","1","0","0","3","0",27.3,0,".200",".300",".200","0.500","0","1","0","84.5",25,0,,"27.8",
"Haseley, Adam","656514","2021","25","21","21","4","3","1","0","0","4","0",19,0,".190",".238",".190","0.428","0","0","0","84.4",35.3,0,,"26.9",
"Hill, Derek","656537","2021","25","139","150","36","27","3","3","3","42","10",28,6.7,".259",".388",".313","0.701","14","3","6","86.9",40.2,5.2,"4.19","30.4",
"Hilliard, Sam","656541","2021","27","214","238","46","23","7","2","14","87","23",36.6,9.7,".215",".463",".294","0.757","34","0","5","89.8",32.3,15,"4.24","28.9",
"Hoffman, Jeff","656546","2021","28","15","16","2","2","0","0","0","3","0",18.8,0,".133",".133",".133","0.266","1","0","0","79",30.8,0,,"24.2",
"Holloway, Jordan","656548","2021","25","10","10","1","1","0","0","0","6","0",60,0,".100",".100",".100","0.200","0","0","0","95.1",25,0,,,
"Hoskins, Rhys","656555","2021","28","389","443","96","40","29","0","27","108","47",24.4,10.6,".247",".530",".334","0.864","71","2","3","91.2",36.7,17,"4.64","26.4",
"Jackson, Alex","656577","2021","25","131","151","18","11","4","0","3","73","13",48.3,8.6,".137",".237",".252","0.489","12","0","0","89.6",32.8,6.9,,"26.9",
"Joe, Connor","656582","2021","28","179","211","51","34","9","0","8","41","26",19.4,12.3,".285",".469",".379","0.848","35","0","0","88.2",39.7,9.9,"4.53","26.9",
"Keller, Mitch","656605","2021","25","28","32","3","3","0","0","0","14","2",43.8,6.3,".107",".107",".167","0.274","0","0","0","86.8",25,0,,"25.1",
"Luplow, Jordan","656669","2021","27","163","193","33","14","8","0","11","57","28",29.5,14.5,".202",".454",".326","0.780","28","2","1","86.8",28.3,10.4,"4.45","27.6",
"McKinstry, Zach","656716","2021","26","158","172","34","18","9","0","7","50","10",29.1,5.8,".215",".405",".263","0.668","29","1","1","88.4",36,8.1,"4.31","27.9",
"Megill, Tylor","656731","2021","25","28","31","6","3","3","0","0","17","1",54.8,3.2,".214",".321",".241","0.562","0","0","0","90.8",23.1,0,,"22.0",
"Mullins II, Cedric","656775","2021","26","602","675","175","103","37","5","30","125","59",18.5,8.7,".291",".518",".360","0.878","59","8","30","89.4",35.7,8.1,"4.17","28.5",
"O'Hearn, Ryan","656811","2021","27","236","254","53","38","5","1","9","71","13",28,5.1,".225",".369",".268","0.637","29","0","0","90.8",33.3,8.3,"4.5","27.8",
"Padlo, Kevin","656821","2021","24","13","15","1","0","1","0","0","9","2",60,13.3,".077",".154",".200","0.354","0","0","0","89.7",50,0,,,
"Peters, DJ","656847","2021","25","223","240","44","21","9","1","13","82","12",34.2,5,".197",".422",".242","0.664","38","0","2","87.5",30.6,11.1,"4.28","29.0",
"Peterson, David","656849","2021","25","16","20","1","0","1","0","0","10","0",50,0,".063",".125",".118","0.243","0","0","0","80.5",11.1,0,,"27.2",
"Rivera, Emmanuel","656896","2021","25","90","98","23","18","4","0","1","21","8",21.4,8.2,".256",".333",".316","0.649","5","0","2","91.1",36.2,1.4,,"27.4",
"Schwarber, Kyle","656941","2021","28","399","471","106","55","19","0","32","127","64",27,13.6,".266",".554",".374","0.928","71","1","1","92.3",36.9,17.5,"4.43","26.8",
"Smith, Pavin","656976","2021","25","498","545","133","91","27","4","11","106","42",19.4,7.7,".267",".404",".328","0.732","49","0","1","87.2",33.6,5.1,"4.49","26.5",
